"x","y","centerSPOT","centerx","centery","TF0","TF0_ct","TF1","TF1_ct","TF2","TF2_ct","TF3","TF3_ct"
16786.5696933761,13591.581812345,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Endocardial cells",3,"Cardiomyocytes"
16786.9574267955,13588.4760901895,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Cardiomyocytes",3,"Endocardial cells"
16814.5853555715,13582.2536045311,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Immature myocardial cells",2,"Endocardial cells",3,"Cardiomyocytes"
16779.740110558,13628.6997327289,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Immature myocardial cells",2,"Endocardial cells",3,"Cardiomyocytes"
16827.8455761958,13574.7518531567,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Immature myocardial cells",2,"Endocardial cells",3,"Cardiomyocytes"
16842.1650860875,13597.4507752085,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Immature myocardial cells",2,"Cardiomyocytes",3,"Cardiomyocytes"
16710.4971380957,13608.4988782691,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Endocardial cells",3,"Cardiomyocytes"
16826.5076379328,13514.5672261118,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Endocardial cells",3,"Cardiomyocytes"
16755.9375055675,13510.5860918345,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Cardiomyocytes",3,"Endocardial cells"
16850.8840093571,13669.0768442394,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Immature myocardial cells",2,"Endocardial cells",3,"Cardiomyocytes"
16883.5648115996,13537.6052266617,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Endocardial cells",3,"Cardiomyocytes"
16896.9169205246,13563.6079334934,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Immature myocardial cells",2,"Endocardial cells",3,"Cardiomyocytes"
16809.4695404702,13484.0263907215,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Cardiomyocytes",3,"Cardiomyocytes"
16869.8346092462,13509.3329044155,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Cardiomyocytes",3,"Cardiomyocytes"
16825.1987695537,13476.7557646026,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Endocardial cells",3,"Cardiomyocytes"
16874.1001798043,13689.5762169966,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Immature myocardial cells",2,"Endocardial cells",3,"Endocardial cells"
16688.8459277312,13672.2531100731,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Endocardial cells",3,"Endocardial cells"
16920.1376027452,13566.7055827826,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Endocardial cells",3,"Endocardial cells"
16894.1210373409,13510.1322160409,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Immature myocardial cells",2,"Endocardial cells",3,"Endocardial cells"
16760.7569902736,13462.9428556896,"16790x13596",16790,13596,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Endocardial cells",3,"Endocardial cells"
16100.5569373284,16228.516040547,"16103x16250",16103,16250,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Endocardial cells",3,"Endocardial cells"
16072.0244645712,16221.5247970305,"16103x16250",16103,16250,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Cardiomyocytes",3,"Endocardial cells"
16070.2086942231,16219.3476110543,"16103x16250",16103,16250,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Immature myocardial cells",3,"Cardiomyocytes"
16030.1319838106,16235.9429287705,"16103x16250",16103,16250,0,"Cardiomyocytes",1,"Immature myocardial cells",2,"Cardiomyocytes",3,"Cardiomyocytes"
16124.7920613457,16177.7209709539,"16103x16250",16103,16250,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Cardiomyocytes",3,"Endocardial cells"
16081.4429798366,16174.0959265665,"16103x16250",16103,16250,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Cardiomyocytes",3,"Cardiomyocytes"
16060.2905072492,16177.7135437158,"16103x16250",16103,16250,0,"Cardiomyocytes",1,"Immature myocardial cells",2,"Cardiomyocytes",3,"Cardiomyocytes"
16159.55061911,16187.1324318806,"16103x16250",16103,16250,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Endocardial cells",3,"Cardiomyocytes"
16114.3638896766,16341.1700059144,"16103x16250",16103,16250,0,"Cardiomyocytes",1,"Immature myocardial cells",2,"Endocardial cells",3,"Cardiomyocytes"
16185.9580264205,16192.2087037981,"16103x16250",16103,16250,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Cardiomyocytes",3,"Endocardial cells"
