"x","y","Cardiomyocytes","Fibroblast cells","TMSB4X high cells","Valve cells","Erythrocytes","Endocardial cells","Epi-epithelial cells","Epi-mesenchymal cells","Immature myocardial cells","Macrophages","Vascular endothelial cells","Mural cells"
16790,13596,0.973040095134815,2.03189470917358e-11,3.52069761460584e-12,9.47967861319316e-10,4.13237085832152e-34,0.000490122940743838,3.60943985892785e-23,3.67077352536467e-25,0.000180860218345283,0.0262888409634805,7.97708082326214e-08,9.48312078055953e-19
16103,16250,0.965830255181689,2.0663659923981e-21,1.10730312020119e-13,1.31527599857016e-22,3.83179707391669e-28,3.55100986154198e-06,2.93607032411887e-42,2.03240045662296e-28,0.00629818410260078,0.0278680097055502,1.87681994552559e-13,6.47823559074349e-33
18589,12387,0.669009686862408,1.08438611881806e-08,7.10842835217022e-21,0.136492642806657,6.79501353764216e-27,0.0209235464630356,0.0713524649978892,1.64946081339028e-10,0.0510494389940619,0.0459720679249063,0.0051913396114069,8.80133082697914e-06
8477,14095,0.917698746294211,7.55162251987978e-17,1.34516112695042e-16,4.2435036900627e-19,2.75998266305601e-06,1.64105523834116e-06,4.72656605280387e-34,6.99246139632288e-35,0.0300957686095689,0.0522010840482111,1.01078675991478e-11,8.81288402511091e-23
14165,17218,0.922210198247418,0.00200264388330759,2.37006212536017e-13,0.0280169019908743,5.20016856458067e-09,0.0201415776761554,0.0110646899041245,6.17353817754028e-13,5.11619132044705e-05,0.0163721503473034,8.90189172913858e-05,5.16519192984984e-05
13596,9986,0.949722639369983,0.000190705385864921,6.61968922618112e-12,0.00435205535448112,2.51880313431289e-07,0.00780307303895295,2.40822404985973e-08,2.23275041669651e-13,0.00216504030162724,0.026721584170505,0.00904339466409717,1.23174509197492e-06
15273,17216,0.788360123162677,3.00370736251764e-05,1.40074933032665e-14,0.00914213971413108,1.30578139187921e-26,0.174093190466522,6.86395656981232e-08,2.46199353076336e-13,0.00350628297649688,0.0172303272722986,0.00763783061960584,7.48183530623803e-11
10840,17707,0.970396731926561,1.04256139130868e-24,2.91761605090153e-26,1.75425750839836e-25,1.13405483113398e-95,6.16954803119389e-09,4.96620657260939e-07,2.51807827763397e-35,4.60072967605214e-05,0.0295567579864732,7.88878187472019e-41,6.94417623549185e-32
12364,17463,0.923342119313138,8.31649972736536e-06,8.36373451716926e-19,0.024960197348029,2.47696756732793e-30,0.0290427301255813,4.69391157131344e-14,1.09082276464375e-10,0.000105100764515791,0.0215062873548197,8.02740247898307e-11,0.00103524840478535
11938,12401,0.94645365708619,1.7424296351012e-07,1.6528626787569e-17,0.00542901824421565,1.80188606059104e-10,0.000191292846763847,9.78887336875476e-08,3.03222104450237e-14,0.00700157967714642,0.040748718417297,0.000174154984123486,1.30643234714668e-06
10145,16503,0.963367980420845,9.50447247887987e-28,2.18340211755329e-16,3.99227970569767e-27,1.00631448322886e-37,5.00184299169957e-07,6.42679635457736e-35,1.03868714078576e-37,0.000912378074669217,0.0357191411283674,1.91818739196172e-10,3.60599972775374e-31
10280,14815,0.798436880027809,1.24374161840573e-08,3.46018021085562e-22,0.117191224692771,3.21184402401966e-57,0.00874498522082044,0.0186866168180958,1.70310879330424e-06,0.0230076824551111,0.0339308063250414,3.51872674576193e-24,8.8914141068022e-08
11235,7339,0.946791334957844,0.000102057791246363,5.15288295929473e-09,0.0001744517452519,1.19351599494058e-26,0.0139075351106255,2.11551966162624e-24,2.85640110011008e-08,0.00282232306731762,0.0332423246359609,0.00295993897478964,7.02730125523237e-14
15679,12152,0.929873333941997,5.27852967575581e-05,5.72106375819883e-16,0.0186031980504424,4.62702336628023e-26,0.000984488699697408,9.68588690279315e-05,5.95087378838958e-11,0.00345774511308509,0.0414436201652807,0.00548785342760635,1.16376596068291e-07
15955,11669,0.957296248565664,9.43394844489981e-14,7.53110815086106e-20,7.52737876937111e-07,1.83275778276357e-71,4.53796310148852e-10,2.56615448520209e-22,1.72282391237566e-19,0.0015915884627231,0.0411114097798023,4.90062690521926e-23,4.34358276057533e-14
14833,4921,0.923584723805994,2.20309303492823e-32,1.65827445306635e-22,2.1464293221713e-34,9.77541262562113e-50,3.66387795093324e-16,3.45931129537999e-47,3.1586746125938e-39,0.0152798634390592,0.0611354127549464,5.17885192527425e-30,8.0150785028329e-37
12216,12882,0.937588603473287,6.73679308805786e-22,4.20758918102265e-31,5.41452938405402e-13,3.06947061036443e-51,5.39216431393385e-13,3.96055957896318e-36,1.37746653553107e-26,0.0192523221679987,0.0431590743576335,4.67285189451703e-30,2.66818963693562e-28
17337,10220,0.961545355653103,1.70722326478967e-09,1.33256017388772e-18,0.000134407332642426,8.58870956409062e-34,0.000157727834079605,2.66398499911516e-20,1.67498528126571e-24,5.78841252460699e-05,0.0351969004602934,0.00290772288741184,5.03392146377525e-18
13605,14326,0.602319346947429,6.16609204473763e-05,1.74435589364186e-26,0.249320853721276,3.85778457700598e-35,0.00812507358580316,0.0662394789959394,0.00121518320585201,0.0125715994315717,0.0124799852330386,1.84956223849214e-28,0.0476668179586432
14719,17217,0.863993855648526,0.000108080896334057,6.18989114237429e-08,0.0254911090057789,3.24658192238099e-17,0.0557074357223359,0.0112590848650908,5.96900913998135e-07,4.53076649722883e-06,0.00628860444656643,0.0327334724223869,0.00441316742665843
10413,12163,0.943282237917104,0.000884765701949679,6.3677836099325e-11,0.00329815366434011,8.9997155501449e-15,6.80823454165154e-05,3.46489535303912e-10,4.08987851457398e-16,0.00488540759716836,0.0449504166353409,6.35022379418136e-06,0.0026245855047098
16653,14320,0.942396728186093,0.0026041455029798,8.86228157513833e-06,0.00802002019094984,3.33078594692655e-07,0.00734131069192449,0.00167024606086483,0.00078188055274456,0.000612006127518289,0.0271092352612919,0.0094552179932824,1.40721807657907e-08
12200,4685,0.946550314904548,0.000931048828398528,3.02012680296726e-06,8.75793499140264e-07,0.0012011593380247,0.000394544288368272,2.25568304515154e-24,4.07717245170461e-20,0.00119634284963036,0.0482187493756946,0.00150256237998886,1.38211504465363e-06
9715,9512,0.946250866828359,1.14288945132936e-29,9.31349012509049e-22,8.38836859935465e-32,5.36659286880187e-29,2.77686181494541e-11,2.32721850538788e-38,1.60322754973969e-40,0.00158514078912873,0.0521639923547344,9.36520141865587e-15,2.0305638591115e-32
10686,9751,0.931622729218174,0.000346943808592028,1.09005648912531e-15,0.00983366115313176,2.46126076591812e-14,1.94820139840243e-05,2.07144442612392e-09,6.14905264489057e-11,0.000584853147268167,0.0544352926806653,0.00315703548842478,3.56799152924202e-10
14556,4921,0.925459089293715,0.000313487049071686,1.54698801136457e-12,0.00102359672751324,4.62349562417894e-30,0.00205646984996744,6.80409276267767e-19,1.96015666411281e-18,2.57863761483042e-05,0.060554366380491,0.0105672043073729,1.41732062700109e-11
15670,7812,0.932507022617863,7.37951528670814e-28,1.87189277015238e-22,1.71383953805614e-26,1.95721540973663e-48,2.66459941640283e-10,8.08877309595701e-38,1.51824315581687e-34,0.00241440037297801,0.0650785767400167,2.68219576795289e-12,1.81233097575022e-27
8466,8309,0.949017996358482,2.50817108504002e-39,5.56612713327273e-33,3.21824063982455e-39,1.11147520178936e-51,1.88539926089535e-15,3.17303899039809e-37,1.19961647085193e-45,0.00442992317951028,0.0465520804620057,5.22627258560739e-40,1.26759846143169e-38
15543,13840,0.925526225456554,4.16808776273547e-08,1.19024884994812e-09,0.0186038786015832,5.33946907549e-08,0.0204117322696443,0.000115443471626435,6.10066175846668e-14,0.0167317225359246,0.0186108886553597,5.23807759951393e-10,1.22196221242903e-08
11643,3722,0.940967406748898,2.32455597637027e-12,5.23754477211995e-13,2.86866610555198e-12,3.44200153885187e-22,8.70231066077872e-12,1.63492714547649e-37,4.91831064337182e-27,0.00341062862712388,0.0556219646095591,1.93407750845218e-27,2.05082319160422e-19
11923,5168,0.939530029401633,0.000150518978244625,3.26514987270879e-09,0.0100823927217023,1.51472708488095e-05,5.80602425853218e-05,8.14101680536895e-14,6.3408623872858e-08,0.000819379143085153,0.0396768393771916,0.0096675642344546,1.95639967369554e-09
18314,13352,0.866719349603304,8.54848346600718e-12,7.35400503346778e-34,0.0573580733065886,1.67069750347671e-92,4.04009806438718e-11,0.0385717930669175,4.98170185331943e-08,0.0373496794715632,9.79730119665317e-07,2.01720179848377e-27,7.49555387439637e-08
16363,8052,0.943997074892614,5.46594085645458e-29,2.04447194599549e-23,7.42629812564332e-32,1.51556827135976e-44,2.68048918024129e-13,1.60248273338304e-41,1.13529098933395e-42,0.0042645159400188,0.0517384091670993,2.35156731664325e-18,3.12952314908407e-30
9869,16985,0.987843426495497,4.55448479866834e-30,5.54517093154609e-20,7.9118094439522e-32,2.77958707655964e-19,1.49086656999214e-05,1.5066207342027e-38,4.61612947625025e-41,0.00143687404241455,0.0107047904860451,3.10343185014941e-10,1.90250290935873e-38
15954,11187,0.879900480779529,9.50035265575518e-07,5.34125291877682e-10,0.0179571552113703,1.11748996770855e-48,0.0598658931768742,2.29631326132376e-09,1.02695344066694e-10,0.000915315574566078,0.0399255815228041,2.44463236676099e-06,0.00143217613408972
12336,3479,0.943019659752712,3.08855256568888e-11,3.09530113506814e-24,0.00411488378097232,2.17157992167184e-63,1.26094889924247e-09,6.29812298932568e-16,2.63826331039628e-12,0.00029060575119927,0.0517623160528846,0.0008120176176327,5.15750126039755e-07
