"x","y","centerSPOT","centerx","centery","TF0","TF0_ct","TF1","TF1_ct","TF2","TF2_ct","TF3","TF3_ct"
13592.5696933761,16785.581812345,"13596x16790",13596,16790,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Cardiomyocytes",3,"Endocardial cells"
13592.9574267955,16782.4760901895,"13596x16790",13596,16790,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Cardiomyocytes",3,"Endocardial cells"
13620.5853555715,16776.2536045311,"13596x16790",13596,16790,0,"Cardiomyocytes",1,"Immature myocardial cells",2,"Cardiomyocytes",3,"Cardiomyocytes"
13585.740110558,16822.6997327289,"13596x16790",13596,16790,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Cardiomyocytes",3,"Endocardial cells"
13633.8455761958,16768.7518531567,"13596x16790",13596,16790,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Cardiomyocytes",3,"Endocardial cells"
13648.1650860875,16791.4507752085,"13596x16790",13596,16790,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Cardiomyocytes",3,"Endocardial cells"
13516.4971380957,16802.4988782691,"13596x16790",13596,16790,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Cardiomyocytes",3,"Cardiomyocytes"
13632.5076379328,16708.5672261118,"13596x16790",13596,16790,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Immature myocardial cells",3,"Cardiomyocytes"
13561.9375055675,16704.5860918345,"13596x16790",13596,16790,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Cardiomyocytes",3,"Cardiomyocytes"
13656.8840093571,16863.0768442394,"13596x16790",13596,16790,0,"Cardiomyocytes",1,"Immature myocardial cells",2,"Cardiomyocytes",3,"Endocardial cells"
13689.5648115996,16731.6052266617,"13596x16790",13596,16790,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Immature myocardial cells",3,"Cardiomyocytes"
13702.9169205246,16757.6079334934,"13596x16790",13596,16790,0,"Cardiomyocytes",1,"Cardiomyocytes",2,"Immature myocardial cells",3,"Cardiomyocytes"
