"CellType","Interval","AWCD","NormalizedAWCD","Dispersion_T1","Dispersion_T2","DispersionChange","PercentDispersionChange","TotalAbundance_T1","TotalAbundance_T2"
"Cardiomyocytes","TF0→TF1",61.1640256997371,0.00333871147706969,4727.03569568555,4731.05055237563,4.01485669007798,0.0849339194485544,1752.36222159741,226.365330534717
"Cardiomyocytes","TF1→TF2",317.44812397495,0.0173282854220951,4731.05055237563,4725.59604592378,-5.45450645184792,-0.115291654389722,226.365330534717,293.640313630217
"Cardiomyocytes","TF2→TF3",58.7236856218975,0.00320550259598927,4725.59604592378,4736.16796752302,10.571921599244,0.223716151285575,293.640313630217,312.622465879978
"Endocardial.cells","TF0→TF1",2524.65547167657,0.137811337669515,3727.33384294148,4720.18703029966,992.853187358185,26.6370877735669,26.9354824761676,183.851668411308
"Endocardial.cells","TF1→TF2",222.888638037312,0.0121666428167563,4720.18703029966,4737.19069287862,17.0036625789571,0.360232814289091,183.851668411308,276.248623203524
"Endocardial.cells","TF2→TF3",1008.22827514195,0.0550353459441612,4737.19069287862,4659.64929683194,-77.541396046674,-1.63686456961172,276.248623203524,512.980922718184
"Epi.epithelial.cells","TF0→TF1",1258.89680389964,0.0687183873124975,4392.92304925345,4891.72834922245,498.805299969006,11.3547470414665,15.0815209295861,120.27807263202
"Epi.epithelial.cells","TF1→TF2",773.8451974411,0.0422412653943896,4891.72834922245,4878.95651527323,-12.7718339492249,-0.261090417076307,120.27807263202,276.356686742102
"Epi.epithelial.cells","TF2→TF3",473.161228879951,0.0258280714405736,4878.95651527323,5088.32336181867,209.366846545444,4.29122181946151,276.356686742102,120.894265035811
"Epi.mesenchymal.cells","TF0→TF1",2430.81902927244,0.132689163260001,2100.14126802405,4690.5830231922,2590.44175516815,123.346071743327,0.524399679528919,106.638989809589
"Epi.mesenchymal.cells","TF1→TF2",77.9668481075752,0.00425591362945277,4690.5830231922,4684.3007081094,-6.2823150828026,-0.133934631403819,106.638989809589,54.6521944915032
"Epi.mesenchymal.cells","TF2→TF3",326.825727330975,0.0178401731141491,4684.3007081094,4627.26388245684,-57.036825652558,-1.21761665628803,54.6521944915032,144.502569223573
