"CellType","PValue","FDR"
"Cardiomyocytes",0.000499750124937531,0.000642535874919683
"TMSB4X high cells",0.0229885057471264,0.0258620689655172
"Endocardial cells",0.000499750124937531,0.000642535874919683
"Valve cells",0.000499750124937531,0.000642535874919683
"Fibroblast cells",0.000499750124937531,0.000642535874919683
"Epi-epithelial cells",0.000499750124937531,0.000642535874919683
"Immature myocardial cells",0.000499750124937531,0.000642535874919683
"Mural cells",0.0829585207396302,0.0829585207396302
"Vascular endothelial cells",NA,NA
"Epi-mesenchymal cells",NA,NA
"Erythrocytes",3.6473185090652e-14,3.28258665815868e-13
"Macrophages",NA,NA
