"BaselineCellType","Interval","N","NChanged","ProportionChanged","SE"
"Cardiomyocytes","TF0→TF1",36460,11308,0.310148107515085,0.00242244633948572
"Cardiomyocytes","TF1→TF2",25996,16065,0.617979689182951,0.00301354071490955
"Cardiomyocytes","TF2→TF3",12888,8898,0.690409683426443,0.00407243683938603
"Endocardial cells","TF0→TF1",407,343,0.842751842751843,0.0180445241232877
"Endocardial cells","TF1→TF2",1734,853,0.491926182237601,0.0120057371297751
"Endocardial cells","TF2→TF3",13861,4978,0.359137147391963,0.00407488570526083
"Epi-epithelial cells","TF0→TF1",23,4,0.173913043478261,0.0790341964475118
"Epi-epithelial cells","TF1→TF2",1622,285,0.175709001233046,0.00944956591617572
"Epi-epithelial cells","TF2→TF3",5213,4305,0.825820065221561,0.00525288526307185
"Epi-mesenchymal cells","TF1→TF2",8,8,1,0
"Erythrocytes","TF1→TF2",20,1,0.05,0.0487339717240448
"Erythrocytes","TF2→TF3",491,416,0.847250509164969,0.0162351033951076
"Fibroblast cells","TF0→TF1",70,68,0.971428571428571,0.0199123443553477
"Fibroblast cells","TF1→TF2",593,546,0.920741989881956,0.0110933626411615
"Fibroblast cells","TF2→TF3",918,743,0.809368191721133,0.0129643100648982
"Immature myocardial cells","TF0→TF1",33,24,0.727272727272727,0.077527533220222
"Immature myocardial cells","TF1→TF2",6425,5877,0.914708171206226,0.0034846440843391
"Immature myocardial cells","TF2→TF3",2471,2430,0.983407527316876,0.002569720842774
"Macrophages","TF2→TF3",116,116,1,0
"Mural cells","TF0→TF1",2,2,1,0
"Mural cells","TF1→TF2",8,1,0.125,0.116926793336686
"Mural cells","TF2→TF3",514,192,0.373540856031128,0.0213370252771638
"TMSB4X high cells","TF0→TF1",1410,1402,0.994326241134752,0.002000277875304
"TMSB4X high cells","TF1→TF2",157,155,0.987261146496815,0.00895017172898945
"TMSB4X high cells","TF2→TF3",360,353,0.980555555555556,0.00727750682748857
"Valve cells","TF0→TF1",875,166,0.189714285714286,0.0132545528786022
"Valve cells","TF1→TF2",2572,907,0.352643856920684,0.00942115862407072
"Valve cells","TF2→TF3",2448,1130,0.461601307189543,0.0100758062245425
"Vascular endothelial cells","TF1→TF2",145,145,1,0
