"Time","CellType","CentroidX","CentroidY","TotalAbundance","Dispersion","VarX","VarY","CovXY","MajorAxis","MinorAxis","Angle"
"TF0","Cardiomyocytes",12784.9120932637,10934.2162543348,1752.36222159741,4727.03569568555,7993661.25697531,14351205.21131,800387.333719148,3801.37108484929,2809.70538376483,82.9335986011978
"TF0","Endocardial.cells",12784.7154594891,13633.1976660094,26.9354824761676,3727.33384294148,5346701.4077761,8546316.16896077,-728718.340605945,2950.33322644194,2277.83920189498,102.244722615277
"TF0","Epi.epithelial.cells",13091.5349428866,13283.6298341485,15.0815209295861,4392.92304925345,11059287.2495385,8238485.66712368,-3882452.28992587,3712.08627102481,2349.0824662262,144.982428058558
"TF0","Epi.mesenchymal.cells",12494.1755831862,13682.6472274625,0.524399679528919,2100.14126802405,3106829.86743925,1303763.47821841,-1017095.24707831,1887.9699495312,919.87108625329,155.776573983627
"TF0","Erythrocytes",14302.7405546147,12222.8840077921,0.517942399613028,4558.31311441793,8072468.16539109,12705750.2836834,3478026.24214125,3816.81065536197,2492.02224512339,61.8333799837464
"TF0","Fibroblast.cells",12675.1034197101,11652.0310918762,1.42255936767973,4628.62728135291,7192144.82209955,14232045.6875849,1049492.28577504,3792.77879081534,2653.11506603573,81.6988826796047
"TF0","Immature.myocardial.cells",11992.4939312824,11683.8341968569,14.3997661331065,4562.81528103622,8203925.3065933,12615357.9822643,-1257320.28878334,3598.40891201996,2805.48330787281,104.842177636296
"TF0","Macrophages",12508.8255384369,10190.6752190339,77.6519762800473,4478.12962115491,7798862.04237138,12254782.8614937,274502.932139217,3503.0885900885,2789.62636097682,86.4880452529831
"TF0","Mural.cells",12816.0064560052,12682.8668471401,8.14167773942588,3549.27721002579,4347188.86568038,8250179.8479281,-1270528.37820505,2937.23119570973,1992.49632786565,106.533144333535
"TF0","TMSB4X.high.cells",14001.2272835552,13643.0187219635,0.107537360922585,2941.07627777649,4209115.66989263,4440814.00180701,-713858.190742081,2246.81158127252,1897.83228710003,130.391030959763
"TF0","Valve.cells",12445.8844685513,13189.5003164153,61.5048060410395,3713.92648515764,6843294.98457544,6949954.95257996,-1665565.4261424,2926.26792455774,2286.96435714682,134.083032291033
"TF0","Vascular.endothelial.cells",13873.3573072435,11844.1724197925,5.35010999547263,4620.77710745854,7087833.56583611,14263747.5109768,1541042.57465052,3818.46709811389,2602.0934067467,78.3781370410746
"TF1","Cardiomyocytes",12740.5522862511,10976.3261767,226.365330534717,4731.05055237563,7941634.25771603,14441205.0714177,650652.680416003,3808.63492525288,2806.62418846516,84.3391379227279
"TF1","Endocardial.cells",12720.4454093727,11109.3603869194,183.851668411308,4720.18703029966,7860072.90848352,14420092.6925256,650674.267739656,3805.78624206231,2792.15985945261,84.3897906736144
