"CellID","Interval","BaselineCellType","TargetCellType","Changed"
1,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
2,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
3,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
4,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
5,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
6,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
7,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
8,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
9,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
10,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
11,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
12,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
13,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
14,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
15,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
16,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
17,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
18,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
19,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
20,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
21,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
22,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
23,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
24,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
25,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
26,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
27,"TF0→TF1","Cardiomyocytes","Immature myocardial cells",TRUE
28,"TF0→TF1","Cardiomyocytes","Cardiomyocytes",FALSE
