"gene","avg_log2FC","pct.1","pct.2","diff.pct","p_val","p_val_adj","cluster"
"OLIG1",2.50806891895883,0.403,0.15,0.253,1.72136301403134e-144,4.0861715227076e-140,"0"
"SNX22",2.28283248084241,0.182,0.057,0.125,4.28589231148304e-64,1.01738511689985e-59,"0"
"DLL3",2.17619568962761,0.316,0.124,0.192,4.31545989210163e-92,1.02440386918708e-87,"0"
"CA10",2.05215410524279,0.161,0.062,0.099,5.88713456182047e-42,1.39748800228494e-37,"0"
"COL20A1",2.00140308859927,0.128,0.05,0.078,7.3748255841252e-32,1.75063609715964e-27,"0"
"OLIG2",1.94323916507544,0.232,0.096,0.136,3.29230277697903e-57,7.81526833199282e-53,"0"
"RP11-277P12.20",1.91709362987504,0.227,0.097,0.13,5.19868931953139e-53,1.23406487067036e-48,"0"
"LNX1",1.67228244294128,0.101,0.057,0.044,1.27628465860227e-11,3.02964452259006e-07,"0"
"AFAP1L2",1.67062102333549,0.115,0.054,0.061,6.26613194946782e-20,1.48745440216467e-15,"0"
"XKR4",1.62794309663704,0.11,0.05,0.06,1.23689367690704e-20,2.93613821024194e-16,"0"
"MYT1",1.57614871457154,0.145,0.062,0.083,8.98336397195628e-30,2.13247093966298e-25,"0"
"ERBB3",1.56615375651167,0.133,0.092,0.041,3.22522035884387e-08,0.000765602808782358,"0"
"SOX6",1.55481867528594,0.333,0.191,0.142,8.19301825175704e-48,1.94485867260209e-43,"0"
"CTHRC1",1.52217173772814,0.163,0.083,0.08,1.3723623352598e-24,3.25771371143972e-20,"0"
"CSPG5",1.51391720235463,0.119,0.078,0.041,3.83649695358685e-09,9.10707646842447e-05,"0"
"RGCC",1.5075032052633,0.116,0.053,0.063,3.84765903562322e-21,9.1335730187624e-17,"0"
"CCND1",1.49130305892358,0.294,0.157,0.137,1.93957800261183e-45,4.60417026259996e-41,"0"
"TNK2",1.49059373681957,0.136,0.072,0.064,3.30930948077423e-18,7.85563884546186e-14,"0"
"KCND2",1.48882902512691,0.144,0.083,0.061,6.98550822997528e-16,1.65821994363153e-11,"0"
"PCP4",1.48573631489577,0.105,0.054,0.051,3.05741100942332e-14,7.25768225416907e-10,"0"
"ZNF462",1.4623358861091,0.253,0.146,0.107,1.33689214943359e-31,3.17351458432545e-27,"0"
"KLRC2",1.43292909018325,0.222,0.112,0.11,5.50395751557891e-35,1.30652943504812e-30,"0"
"SMOC1",1.38593323182181,0.311,0.127,0.184,7.01831904353351e-75,1.66600857455398e-70,"0"
"FAM110B",1.38202873408309,0.121,0.07,0.051,7.84814658704376e-13,1.86299303683245e-08,"0"
