"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diff.pct"
1.72136301403134e-144,2.50806891895883,0.403,0.15,4.0861715227076e-140,"0","OLIG1",0.253
4.28589231148304e-64,2.28283248084241,0.182,0.057,1.01738511689985e-59,"0","SNX22",0.125
4.31545989210163e-92,2.17619568962761,0.316,0.124,1.02440386918708e-87,"0","DLL3",0.192
5.88713456182047e-42,2.05215410524279,0.161,0.062,1.39748800228494e-37,"0","CA10",0.099
7.3748255841252e-32,2.00140308859927,0.128,0.05,1.75063609715964e-27,"0","COL20A1",0.078
3.29230277697903e-57,1.94323916507544,0.232,0.096,7.81526833199282e-53,"0","OLIG2",0.136
5.19868931953139e-53,1.91709362987504,0.227,0.097,1.23406487067036e-48,"0","RP11-277P12.20",0.13
1.27628465860227e-11,1.67228244294128,0.101,0.057,3.02964452259006e-07,"0","LNX1",0.044
6.26613194946782e-20,1.67062102333549,0.115,0.054,1.48745440216467e-15,"0","AFAP1L2",0.061
1.23689367690704e-20,1.62794309663704,0.11,0.05,2.93613821024194e-16,"0","XKR4",0.06
8.98336397195628e-30,1.57614871457154,0.145,0.062,2.13247093966298e-25,"0","MYT1",0.083
3.22522035884387e-08,1.56615375651167,0.133,0.092,0.000765602808782358,"0","ERBB3",0.041
8.19301825175704e-48,1.55481867528594,0.333,0.191,1.94485867260209e-43,"0","SOX6",0.142
1.3723623352598e-24,1.52217173772814,0.163,0.083,3.25771371143972e-20,"0","CTHRC1",0.08
3.83649695358685e-09,1.51391720235463,0.119,0.078,9.10707646842447e-05,"0","CSPG5",0.041
3.84765903562322e-21,1.5075032052633,0.116,0.053,9.1335730187624e-17,"0","RGCC",0.063
1.93957800261183e-45,1.49130305892358,0.294,0.157,4.60417026259996e-41,"0","CCND1",0.137
3.30930948077423e-18,1.49059373681957,0.136,0.072,7.85563884546186e-14,"0","TNK2",0.064
6.98550822997528e-16,1.48882902512691,0.144,0.083,1.65821994363153e-11,"0","KCND2",0.061
3.05741100942332e-14,1.48573631489577,0.105,0.054,7.25768225416907e-10,"0","PCP4",0.051
1.33689214943359e-31,1.4623358861091,0.253,0.146,3.17351458432545e-27,"0","ZNF462",0.107
5.50395751557891e-35,1.43292909018325,0.222,0.112,1.30652943504812e-30,"0","KLRC2",0.11
7.01831904353351e-75,1.38593323182181,0.311,0.127,1.66600857455398e-70,"0","SMOC1",0.184
7.84814658704376e-13,1.38202873408309,0.121,0.07,1.86299303683245e-08,"0","FAM110B",0.051
2.40211420741296e-07,1.36028862074747,0.199,0.159,0.00570213870555689,"0","ISG15",0.04
2.30117416722982e-18,1.34939787669694,0.152,0.084,5.46252723817015e-14,"0","GLCCI1",0.068
5.05484331058159e-11,1.34693896945175,0.207,0.155,1.19991870506586e-06,"0","PDE4B",0.052
1.55254776167098e-42,1.33517680358684,0.462,0.346,3.68543787665457e-38,"0","ETV1",0.116
1.55165583590578e-23,1.32819789159579,0.272,0.18,3.68332062327313e-19,"0","TRIO",0.092
2.51524489900668e-10,1.31022407451809,0.182,0.132,5.97068834126207e-06,"0","LHFPL3",0.05
0,4.39996029654904,0.342,0.021,0,"1","FAM111B",0.321
1.52409601099227e-198,4.1349250371363,0.186,0.011,3.61789911089344e-194,"1","CDC6",0.175
4.41162052812276e-144,4.11112302569446,0.149,0.011,1.04723048096578e-139,"1","TK1",0.138
0,4.0966613473755,0.523,0.046,0,"1","PCLAF",0.477
5.3036887503172e-99,3.93422121267267,0.103,0.008,1.2589896355503e-94,"1","MYBL2",0.095
2.39773074982124e-88,3.87854633659451,0.105,0.01,5.69173325392566e-84,"1","E2F7",0.095
0,3.87816256408638,0.571,0.053,0,"1","CLSPN",0.518
5.04135708399899e-291,3.86927752786082,0.314,0.028,1.19671734459968e-286,"1","RRM2",0.286
0,3.60989784482698,0.384,0.04,0,"1","ESCO2",0.344
2.25059632167057e-188,3.56136028341234,0.212,0.019,5.34246554838161e-184,"1","MCM10",0.193
6.41102112150067e-152,3.53183918396466,0.16,0.012,1.52184819382183e-147,"1","CDC45",0.148
3.45704557909332e-149,3.3948166982719,0.168,0.015,8.20633479565172e-145,"1","DTL",0.153
1.87263797012699e-240,3.37353766826227,0.293,0.031,4.44526801348744e-236,"1","CCNE2",0.262
2.36748698667273e-127,3.36099999263095,0.142,0.012,5.61994060896373e-123,"1","CDT1",0.13
0,3.33900011531062,0.492,0.069,0,"1","TYMS",0.423
6.0366874046106e-110,3.30377163850178,0.128,0.012,1.43298885610646e-105,"1","BRIP1",0.116
0,3.30295419714454,0.558,0.08,0,"1","CENPU",0.478
