"x","y","centerSPOT","centerx","centery","TF0","TF0_ct","TF1","TF1_ct","TF2","TF2_ct"
9387.29652136137,7435.80594299085,"9389x7438",9389,7438,0,"Macrophages/Microglia cells",1,"Cytokines",2,"OPCs"
9387.4890684628,7434.26365189866,"9389x7438",9389,7438,0,"Endothelial cells",1,"Cytokines",2,"Cytokines"
9401.20900421776,7431.17358661866,"9389x7438",9389,7438,0,"OPCs",1,"Endothelial cells",2,"OPCs"
9383.90497369024,7454.23857640152,"9389x7438",9389,7438,0,"Proliferation",1,"OPCs",2,"Cytokines"
9407.79398481968,7427.44824232154,"9389x7438",9389,7438,0,"OPCs",1,"OPCs",2,"Cytokines"
9414.9050048802,7438.72045004957,"9389x7438",9389,7438,0,"OPCs",1,"Epithelial cells",2,"OPCs"
9349.51914834058,7444.20690056978,"9389x7438",9389,7438,0,"OPCs",1,"Endothelial cells",2,"Cytokines"
9407.1295692147,7397.56076059294,"9389x7438",9389,7438,0,"Endothelial cells",1,"Cytokines",2,"OPCs"
9372.08468075707,7395.58374280925,"9389x7438",9389,7438,0,"OPCs",1,"OPCs",2,"OPCs"
9419.23479261355,7474.28971307509,"9389x7438",9389,7438,0,"OPCs",1,"OPCs",2,"Cytokines"
9435.46396819973,7409.00135355339,"9389x7438",9389,7438,0,"Neurons",1,"OPCs",2,"OPCs"
9442.09458022021,7421.91420960128,"9389x7438",9389,7438,0,"OPCs",1,"OPCs",2,"Cytokines"
9398.66850778412,7382.39428528979,"9389x7438",9389,7438,0,"OPCs",1,"OPCs",2,"Cytokines"
9428.64559626461,7394.96141418601,"9389x7438",9389,7438,0,"Cytokines",1,"OPCs",2,"Cytokines"
9406.47958961548,7378.78371701092,"9389x7438",9389,7438,0,"OPCs",1,"OPCs",2,"OPCs"
9430.76386414092,7484.46963208117,"9389x7438",9389,7438,0,"OPCs",1,"OPCs",2,"OPCs"
9338.76723068413,7475.86703591867,"9389x7438",9389,7438,0,"OPCs",1,"OPCs",2,"Cytokines"
9453.625892279,7423.45249173543,"9389x7438",9389,7438,0,"OPCs",1,"OPCs",2,"OPCs"
9440.70615411091,7395.35834962906,"9389x7438",9389,7438,0,"OPCs",1,"OPCs",2,"Cytokines"
9374.47802052116,7371.92427327873,"9389x7438",9389,7438,0,"OPCs",1,"OPCs",2,"Cytokines"
5325.78678336072,1791.3311385791,"5327x1802",5327,1802,0,"Macrophages/Microglia cells",1,"Mural cells",2,"Cytokines"
5311.61765413166,1787.85931075329,"5327x1802",5327,1802,0,"Macrophages/Microglia cells",1,"Endothelial cells",2,"OPCs"
5310.71594873331,1786.77812757948,"5327x1802",5327,1802,0,"Macrophages/Microglia cells",1,"Endothelial cells",2,"OPCs"
5290.81399022651,1795.0193060893,"5327x1802",5327,1802,0,"Macrophages/Microglia cells",1,"Mural cells",2,"Cytokines"
5337.82186377617,1766.10647924482,"5327x1802",5327,1802,0,"Macrophages/Microglia cells",1,"Mural cells",2,"Cytokines"
5316.29485687804,1764.30629449314,"5327x1802",5327,1802,0,"Macrophages/Microglia cells",1,"Mural cells",2,"OPCs"
5305.79061071065,1766.10279090358,"5327x1802",5327,1802,0,"Endothelial cells",1,"Mural cells",2,"OPCs"
5355.08284570962,1770.78017883054,"5327x1802",5327,1802,0,"Macrophages/Microglia cells",1,"Mural cells",2,"Epithelial cells"
5332.643269083,1847.27471581628,"5327x1802",5327,1802,0,"Macrophages/Microglia cells",1,"Mural cells",2,"OPCs"
5368.19667464308,1773.30103825318,"5327x1802",5327,1802,0,"Macrophages/Microglia cells",1,"Mural cells",2,"OPCs"
5291.95122537582,1765.13368634395,"5327x1802",5327,1802,0,"Macrophages/Microglia cells",1,"Mural cells",2,"OPCs"
5366.36646519954,1836.25193061346,"5327x1802",5327,1802,0,"Macrophages/Microglia cells",1,"Neurons",2,"OPCs"
5306.62067569231,1751.32335053792,"5327x1802",5327,1802,0,"Macrophages/Microglia cells",1,"Mural cells",2,"OPCs"
5289.09083821252,1841.53223663817,"5327x1802",5327,1802,0,"Mural cells",1,"Endothelial cells",2,"OPCs"
5279.54531794321,1771.69868604366,"5327x1802",5327,1802,0,"Cytokines",1,"Mural cells",2,"Epithelial cells"
5272.48048040628,1816.36203112086,"5327x1802",5327,1802,0,"Macrophages/Microglia cells",1,"Neurons",2,"OPCs"
5365.35427970095,1849.68894241293,"5327x1802",5327,1802,0,"Cytokines",1,"Mural cells",2,"Cytokines"
5388.15334956734,1804.83238179506,"5327x1802",5327,1802,0,"Endothelial cells",1,"Mural cells",2,"OPCs"
5390.19628004237,1813.40081568113,"5327x1802",5327,1802,0,"Macrophages/Microglia cells",1,"Endothelial cells",2,"Cytokines"
5262.05037953809,1790.28430765964,"5327x1802",5327,1802,0,"Cytokines",1,"Neurons",2,"OPCs"
3669.94778069733,8525.8413918883,"3670x8514",3670,8514,0,"Endothelial cells",1,"Cytokines",2,"OPCs"
3674.81843943739,8496.37699585268,"3670x8514",3670,8514,0,"Endothelial cells",1,"Endothelial cells",2,"Cytokines"
3672.30478449565,8533.03598431601,"3670x8514",3670,8514,0,"OPCs",1,"OPCs",2,"OPCs"
3692.43331799865,8508.0429446792,"3670x8514",3670,8514,0,"Endothelial cells",1,"Cytokines",2,"Cytokines"
3693.56273538993,8520.44138708139,"3670x8514",3670,8514,0,"Endothelial cells",1,"Endothelial cells",2,"Cytokines"
3691.04494394284,8527.29254258379,"3670x8514",3670,8514,0,"Endothelial cells",1,"Cytokines",2,"Cytokines"
3642.26180785454,8500.54310234579,"3670x8514",3670,8514,0,"Endothelial cells",1,"OPCs",2,"OPCs"
3700.29289370049,8520.58303113328,"3670x8514",3670,8514,0,"Cytokines",1,"Endothelial cells",2,"Cytokines"
3702.77292097001,8519.61546690372,"3670x8514",3670,8514,0,"OPCs",1,"Cytokines",2,"OPCs"
3640.55489577793,8535.72106119698,"3670x8514",3670,8514,0,"Cytokines",1,"OPCs",2,"Cytokines"
3667.52388615334,8475.7135962027,"3670x8514",3670,8514,0,"Endothelial cells",1,"Endothelial cells",2,"Cytokines"
3649.91599813441,8479.702539712,"3670x8514",3670,8514,0,"Endothelial cells",1,"Endothelial cells",2,"OPCs"
3645.19389196181,8548.86416927053,"3670x8514",3670,8514,0,"Endothelial cells",1,"OPCs",2,"Cytokines"
3649.59364866192,8558.09029655611,"3670x8514",3670,8514,0,"Macrophages/Microglia cells",1,"Endothelial cells",2,"OPCs"
3654.94261915126,8563.69556439606,"3670x8514",3670,8514,0,"Endothelial cells",1,"Endothelial cells",2,"OPCs"
3718.72883523945,8540.84545371534,"3670x8514",3670,8514,0,"Endothelial cells",1,"OPCs",2,"Cytokines"
3628.17276040351,8559.14264597504,"3670x8514",3670,8514,0,"Endothelial cells",1,"Endothelial cells",2,"OPCs"
3679.59253931686,8577.62128357677,"3670x8514",3670,8514,0,"Endothelial cells",1,"Endothelial cells",2,"Cytokines"
3646.04808331744,8575.14254251076,"3670x8514",3670,8514,0,"OPCs",1,"OPCs",2,"OPCs"
3609.97247608563,8480.64853956722,"3670x8514",3670,8514,0,"OPCs",1,"Endothelial cells",2,"Cytokines"
8859.50272040599,3134.7989926154,"8840x3122",8840,3122,0,"Endothelial cells",1,"Macrophages/Microglia cells",2,"Epithelial cells"
8852.3313357581,3148.45440620399,"8840x3122",8840,3122,0,"Endothelial cells",1,"Macrophages/Microglia cells",2,"Endothelial cells"
8809.18377308468,3115.11400993418,"8840x3122",8840,3122,0,"Endothelial cells",1,"Macrophages/Microglia cells",2,"Endothelial cells"
8871.33863937144,3132.55615199723,"8840x3122",8840,3122,0,"Endothelial cells",1,"Macrophages/Microglia cells",2,"Endothelial cells"
8878.1705593372,3113.02606855842,"8840x3122",8840,3122,0,"Endothelial cells",1,"Macrophages/Microglia cells",2,"Cytokines"
8831.67903693239,3082.74959322521,"8840x3122",8840,3122,0,"Endothelial cells",1,"Endothelial cells",2,"Cytokines"
8812.75614132225,3153.48156522709,"8840x3122",8840,3122,0,"Endothelial cells",1,"Macrophages/Microglia cells",2,"OPCs"
8891.59291320129,3117.99624227714,"8840x3122",8840,3122,0,"Endothelial cells",1,"Macrophages/Microglia cells",2,"OPCs"
8819.5649313608,3074.34549709913,"8840x3122",8840,3122,0,"Endothelial cells",1,"Macrophages/Microglia cells",2,"Cytokines"
8888.56809962472,3142.02300131531,"8840x3122",8840,3122,0,"Endothelial cells",1,"Endothelial cells",2,"Endothelial cells"
8823.31212834326,3066.86278431601,"8840x3122",8840,3122,0,"Neurons",1,"Endothelial cells",2,"OPCs"
8807.59374099512,3074.22945662174,"8840x3122",8840,3122,0,"Endothelial cells",1,"Cytokines",2,"Cytokines"
8868.73009713044,3071.87399264527,"8840x3122",8840,3122,0,"Neurons",1,"Cytokines",2,"OPCs"
8890.37130584097,3089.68633055274,"8840x3122",8840,3122,0,"Neurons",1,"Endothelial cells",2,"Mural cells"
8792.92591147676,3081.62508098058,"8840x3122",8840,3122,0,"Endothelial cells",1,"Endothelial cells",2,"OPCs"
8789.76492990315,3080.33284502259,"8840x3122",8840,3122,0,"Endothelial cells",1,"Endothelial cells",2,"OPCs"
8879.34983245095,3176.40342263546,"8840x3122",8840,3122,0,"Endothelial cells",1,"Endothelial cells",2,"Cytokines"
8875.25032239877,3064.80782844666,"8840x3122",8840,3122,0,"Endothelial cells",1,"Endothelial cells",2,"Cytokines"
8863.02439335366,3058.02682390843,"8840x3122",8840,3122,0,"Endothelial cells",1,"Endothelial cells",2,"OPCs"
8799.01018940176,3176.41133162053,"8840x3122",8840,3122,0,"Endothelial cells",1,"Endothelial cells",2,"Cytokines"
5332.94848997163,10201.6311835608,"5323x10193",5323,10193,0,"Cytokines",1,"Cytokines",2,"OPCs"
5329.52451083209,10209.3518248554,"5323x10193",5323,10193,0,"OPCs",1,"OPCs",2,"Cytokines"
