"CellType","Interval","AWCD","NormalizedAWCD","Dispersion_T1","Dispersion_T2","DispersionChange","PercentDispersionChange","TotalAbundance_T1","TotalAbundance_T2"
"Astrocytes","TF0→TF1",474.414253767405,0.0389964616477409,3209.71760155723,3234.05264115277,24.3350395955454,0.758167621467352,1206.63318079498,2035.21130568464
"Astrocytes","TF1→TF2",378.005758217021,0.031071762570107,3234.05264115277,3239.49076494807,5.43812379529436,0.168151987574202,2035.21130568464,1016.54384001453
"Endothelial.cells","TF0→TF1",1548.98261830635,0.127325097819291,3111.34188437146,2903.76707520374,-207.574809167719,-6.67155256098294,392.171500855482,459.603407608331
"Endothelial.cells","TF1→TF2",1442.37799501573,0.11856228542356,2903.76707520374,3102.90969018305,199.142614979307,6.85807813856195,459.603407608331,654.195736189679
"Macrophages.Microglia.cells","TF0→TF1",298.093833804933,0.0245030680783495,3225.52152242665,3151.91458885738,-73.6069335692669,-2.28201650671022,1262.35926295985,707.676675493382
"Macrophages.Microglia.cells","TF1→TF2",242.919669646055,0.0199677971427029,3151.91458885738,3169.39858359721,17.4839947398264,0.554710295819424,707.676675493382,912.643044183422
"Neurons","TF0→TF1",1705.77902446157,0.140213633504253,2966.58517850127,1607.49078957724,-1359.09438892403,-45.8134288128092,18.9992092978582,1.40345051680319
"Neurons","TF1→TF2",1151.43626953801,0.09464711477002,1607.49078957724,2656.53723037065,1049.04644079341,65.2598725663179,1.40345051680319,21.0725225804566
"Oligodendrocytes","TF0→TF1",574.157280642576,0.0471952564589824,3199.91623917759,3088.04604045192,-111.870198725675,-3.4960352197977,403.692811010671,86.7662872714659
"Oligodendrocytes","TF1→TF2",929.896266760449,0.0764367086678641,3088.04604045192,3238.89308843928,150.847047987368,4.88487043299692,86.7662872714659,640.118171996279
"OPCs","TF0→TF1",1231.43743168145,0.101223144529933,3355.212682812,3116.46871437343,-238.74396843856,-7.11561355444298,2.84617599832632,0.120615607531584
"OPCs","TF1→TF2",1197.81598060328,0.0984594888912177,3116.46871437343,3202.37545988027,85.9067455068348,2.75654124524418,0.120615607531584,26.9771469698943
"Proliferation","TF0→TF1",1514.15374729439,0.124462193254628,3340.38037967518,2737.92072439019,-602.459655284993,-18.03566021854,4.29785908283293,0.218257817845684
"Proliferation","TF1→TF2",1609.96390721058,0.132337709635018,2737.92072439019,3250.93068970382,513.00996531363,18.7372103488457,0.218257817845684,19.449538065735
