"Time","CellType","CentroidX","CentroidY","TotalAbundance","Dispersion","VarX","VarY","CovXY","MajorAxis","MinorAxis","Angle"
"TF0","Astrocytes",6739.40830697176,6447.00107754746,1206.63318079498,3209.71760155723,3878140.44104465,6424146.64070164,111784.76319656,2535.55619724099,1968.05534789526,87.4908118444418
"TF0","Endothelial.cells",6958.05429517058,6017.3059569358,392.171500855482,3111.34188437146,4331381.51374027,5349066.80770387,-225778.77690294,2323.12461971355,2069.67154947951,101.963679668382
"TF0","Macrophages.Microglia.cells",6643.11667236979,5841.76719377889,1262.35926295985,3225.52152242665,3936543.1737206,6467445.91791693,130659.454405407,2544.43970497253,1982.37627089229,87.0525137542217
"TF0","Neurons",7741.89934721632,7996.63428717033,18.9992092978582,2966.58517850127,2949394.59489738,5851233.02640606,994668.51149302,2481.82231617218,1625.17248692352,72.7838298004096
"TF0","Oligodendrocytes",7063.84609996892,5910.66420911688,403.692811010671,3199.91623917759,3946842.56455822,6292621.37319424,415437.021577639,2522.70131336635,1968.61423882186,80.2479360553763
"TF0","OPCs",6782.40848172328,6602.46521529622,2.84617599832632,3355.212682812,3959264.34503464,7298187.80186783,-772803.479606856,2732.83374943178,1946.55383816351,102.419845439518
"TF0","Proliferation",6882.97873824135,6869.13861921929,4.29785908283293,3340.38037967518,4049292.09072095,7108848.99019795,-2230571.48877033,2878.16266077172,1695.38219262157,117.77837643096
"TF1","Astrocytes",6873.79690198812,5992.01911119361,2035.21130568464,3234.05264115277,3959685.75385342,6499410.73189381,475769.255136809,2566.24459875733,1968.11715736032,79.7304668294124
"TF1","Endothelial.cells",6018.86376860918,7249.08041138454,459.603407608331,2903.76707520374,3241574.80424857,5190288.4227887,-658995.441633884,2322.11466580058,1743.45826044421,107.036009869546
"TF1","Macrophages.Microglia.cells",6886.36644288995,5669.46083030263,707.676675493382,3151.91458885738,4084717.02800873,5849848.54744327,136616.712582582,2420.8179902816,2018.46620813453,85.6003704360426
"TF1","Neurons",8724.03541713888,9391.29941559727,1.40345051680319,1607.49078957724,567213.605614393,2016813.03296128,279815.924701902,1438.38472766334,717.687964090609,79.4452186020581
"TF1","Oligodendrocytes",7494.70200712133,6290.16357695133,86.7662872714659,3088.04604045192,3809647.59312166,5726380.7548291,1075977.07872694,2491.76931143528,1824.03784131254,65.8456352821291
"TF1","OPCs",7729.83009464059,5815.8074526552,0.120615607531584,3116.46871437343,3195893.79834228,6516483.44932613,500276.142130488,2567.14183609445,1766.96350868999,81.6157592501267
"TF1","Proliferation",7514.35188701706,5492.90116970315,0.218257817845684,2737.92072439019,3040036.18644171,4456173.70660358,-1351447.77931276,2296.47749223154,1490.77195463264,121.174225567538
"TF2","Astrocytes",6821.28564555878,6366.3597597925,1016.54384001453,3239.49076494807,4008807.44633955,6485492.96984427,-152650.573815799,2548.50272092738,1999.85856940174,93.5137008576384
"TF2","Endothelial.cells",6947.55739871832,6145.45800226976,654.195736189679,3102.90969018305,4219426.37059695,5408622.1748349,112182.45900349,2327.89869627481,2051.56920558724,84.6578147757209
"TF2","Macrophages.Microglia.cells",6693.08987842942,5522.30738817067,912.643044183422,3169.39858359721,3900342.51373071,6144744.86797727,454049.523199594,2496.62183747945,1952.42587114817,78.9857201053307
"TF2","Neurons",8220.91857129344,8355.59727587072,21.0725225804566,2656.53723037065,2490502.19355625,4566687.86278912,938857.870079063,2219.97078543509,1459.08182366859,68.9368027755613
"TF2","Oligodendrocytes",6567.25657187384,6357.63232211236,640.118171996279,3238.89308843928,3698981.22630078,6791447.21203899,-31670.9612457961,2606.10274754409,1923.18925422926,90.5867028829673
"TF2","OPCs",7327.13298933863,6943.90237985327,26.9771469698943,3202.37545988027,4052492.67170641,6202715.91433696,11710.3169978774,2490.53803181717,2013.06455388685,89.6879741621807
"TF2","Proliferation",6787.96787863711,6929.68579339963,19.449538065735,3250.93068970382,4177422.19339626,6391128.15586188,-983896.611389776,2601.00225626785,1950.21476051939,110.817164301225
