"CellType","Interval","AWCD","NormalizedAWCD","Dispersion_T1","Dispersion_T2","DispersionChange","PercentDispersionChange","TotalAbundance_T1","TotalAbundance_T2"
"Cytokines","TF0→TF1",1065.93122235208,0.0876186701843111,3254.48763611478,3344.5488133656,90.0611772508228,2.76729203858148,494.486442118499,28.6803454072719
"Cytokines","TF1→TF2",487.011589997842,0.0400319523297194,3344.5488133656,3179.00318142177,-165.545631943831,-4.94971492962734,28.6803454072719,355.277919451352
"Endothelial.cells","TF0→TF1",537.524145902807,0.0441840428991632,2966.26033657827,3129.93145013649,163.671113558217,5.51775956883878,461.274710727539,484.832388068036
"Endothelial.cells","TF1→TF2",1055.43495789186,0.0867558858745714,3129.93145013649,2983.58301875603,-146.348431380459,-4.67577113786556,484.832388068036,171.161979096782
"Epithelial.cells","TF0→TF1",2220.77578574054,0.182545943906909,3309.99439847785,3273.90670916897,-36.0876893088771,-1.0902643619419,305.839327403585,1.46192966862201
"Epithelial.cells","TF1→TF2",2213.59343758074,0.181955560792721,3273.90670916897,3176.45933060495,-97.4473785640216,-2.97648611339805,1.46192966862201,205.134931869732
"Macrophages.Microglia.cells","TF0→TF1",485.981232046611,0.0399472577531768,3204.35400496118,3183.90021920162,-20.4537857595533,-0.638312300322794,553.911976581801,1192.1542036105
"Mural.cells","TF0→TF1",170.597528078982,0.0140229765613095,3269.12968794718,3219.7513449619,-49.378342985272,-1.51044307502768,503.337496377887,774.995370684713
"Mural.cells","TF1→TF2",1287.35933840525,0.105819879289703,3219.7513449619,3004.18928863528,-215.562056326621,-6.69499079995482,774.995370684713,10.7262102276153
"Neurons","TF0→TF1",1020.8936026015,0.0839166148658594,3207.00025824927,3221.55997423284,14.5597159835675,0.453997967294076,290.915728492624,6.10885311528166
"Neurons","TF1→TF2",304.493549338002,0.0250291194340159,3221.55997423284,3113.87782229343,-107.682151939409,-3.3425468655151,6.10885311528166,22.1299591713067
"OPCs","TF0→TF1",348.948070137184,0.0286832444980236,3069.13855309942,3148.07453599906,78.9359828996389,2.57192634134827,675.029023613814,801.680972806965
"OPCs","TF1→TF2",615.094544428948,0.0505602658880444,3148.07453599906,3217.00629704885,68.9317610497937,2.18964831555101,801.680972806965,2525.37951009257
"Proliferation","TF0→TF1",1322.73212982668,0.108727493664872,3167.75809352696,3250.88456422737,83.1264707004157,2.6241420034654,6.20529468425155,1.08593663860996
"Proliferation","TF1→TF2",993.873460981319,0.0816955814377102,3250.88456422737,2761.06652262469,-489.81804160268,-15.0672234564285,1.08593663860996,1.18949009064092
