"BaselineCellType","Interval","N","NChanged","ProportionChanged","SE"
"Cytokines","TF0→TF1",11618,9992,0.86004475813393,0.00321876614747956
"Cytokines","TF1→TF2",7129,3742,0.524898302707252,0.00591448000386602
"Endothelial cells","TF0→TF1",15677,8459,0.539580276838681,0.00398082892065705
"Endothelial cells","TF1→TF2",18953,17818,0.940115021368649,0.00172349673158519
"Epithelial cells","TF0→TF1",1182,1155,0.977157360406091,0.00434556909233844
"Epithelial cells","TF1→TF2",1030,1029,0.999029126213592,0.00097040237400495
"Macrophages/Microglia cells","TF0→TF1",9930,7584,0.763746223564955,0.00426274440762234
"Macrophages/Microglia cells","TF1→TF2",11831,11831,1,0
"Mural cells","TF0→TF1",9854,4551,0.461842906433935,0.00502221608206308
"Mural cells","TF1→TF2",8746,8663,0.990509947404528,0.00103671407279965
"Neurons","TF0→TF1",2426,2407,0.992168178070899,0.00178969345894422
"Neurons","TF1→TF2",2241,2222,0.991521642124052,0.00193680564834076
"OPCs","TF0→TF1",14807,6747,0.455662862159789,0.00409281638466013
"OPCs","TF1→TF2",15886,8663,0.545322925846657,0.00395067339118037
"Proliferation","TF0→TF1",326,326,1,0
"Proliferation","TF1→TF2",4,4,1,0
