"Time","CellType","CentroidX","CentroidY","TotalAbundance","Dispersion","VarX","VarY","CovXY","MajorAxis","MinorAxis","Angle"
"TF0","Cytokines",6590.44513678415,6044.39190154839,494.486442118499,3254.48763611478,3927686.50323021,6664003.27039374,-423857.076516017,2593.86872707696,1965.58764757925,98.6065213056689
"TF0","Endothelial.cells",7461.39042150269,5726.83308938547,461.274710727539,2966.26033657827,4021173.68751062,4777526.69684681,-49034.2199316524,2186.47943655963,2004.4969588052,93.6938663888536
"TF0","Epithelial.cells",6516.53366911724,6187.28793598659,305.839327403585,3309.99439847785,3634845.2233736,7321217.69458114,-729521.6195683,2731.36184222854,1869.68591072742,100.796675209239
"TF0","Macrophages.Microglia.cells",6611.30782202861,5789.37878949061,553.911976581801,3204.35400496118,3988313.77330535,6279570.81580539,684763.792758622,2543.3483035338,1949.17007878288,74.5662211028829
"TF0","Mural.cells",6651.47722171628,5601.12172316795,503.337496377887,3269.12968794718,3850392.12682511,6836816.78979249,551598.971430154,2633.52260061355,1936.9480190948,79.8627780802161
"TF0","Neurons",6613.53858094831,6275.49153280259,290.915728492624,3207.00025824927,3895589.53303952,6389261.12337139,-175251.886463225,2530.12200333794,1970.61749323305,94.0004628639589
"TF0","OPCs",6853.27462352776,6938.58494378058,675.029023613814,3069.13855309942,3869391.10538037,5550220.35274081,450539.783304627,2379.7833851705,1938.10280887976,75.9022924876146
"TF0","Proliferation",6532.01892507569,6680.0456974449,6.20529468425155,3167.75809352696,3740721.01459998,6293970.32450555,-1252254.91708887,2608.75767187836,1796.96264527712,112.223941004545
"TF1","Cytokines",7620.43633362112,5769.93333414095,28.6803454072719,3344.5488133656,3410081.12932803,7775925.63565722,205612.892768191,2790.26660979537,1844.02250833505,87.3095479172959
"TF1","Endothelial.cells",6985.55517353453,5976.85913646781,484.832388068036,3129.93145013649,4195618.32987686,5600852.55267663,-331076.612030696,2382.21495320879,2030.15339303756,102.615021145359
"TF1","Epithelial.cells",8615.99303855589,6911.24611613772,1.46192966862201,3273.90670916897,1370682.0035533,9347783.13678831,396618.338569031,3060.62972876656,1162.32990313937,87.1606105484478
"TF1","Macrophages.Microglia.cells",6984.96032319148,6100.12235945832,1192.1542036105,3183.90021920162,4114744.77660574,6022475.82922642,-88416.9532509635,2454.90629040957,2027.47520604807,92.6479014001357
"TF1","Mural.cells",6532.65041334479,5478.7137732672,774.995370684713,3219.7513449619,3696669.12344296,6670129.59994102,584536.105108681,2604.01859116587,1893.64355152877,79.2683953747232
"TF1","Neurons",7566.64051229828,5909.6767486705,6.10885311528166,3221.55997423284,3695313.24943203,6683135.41814708,-295634.83406277,2590.77335224106,1914.76946520899,95.5969085788486
"TF1","OPCs",6526.06318598166,6817.35198295112,801.680972806965,3148.07453599906,3721615.9179925,6188757.36621318,344807.50272642,2497.20672221263,1916.85468169648,82.191633654374
"TF1","Proliferation",7735.31520454963,6130.77495265688,1.08593663860996,3250.88456422737,3375855.78523186,7192394.66469993,-997751.780065849,2727.17708987546,1769.39412522767,103.80156363367
"TF2","Cytokines",7136.31585686009,5822.920622927,355.277919451352,3179.00318142177,3951894.59459591,6154166.63289382,-502359.11319857,2502.66793151797,1960.28427837426,102.261685065868
"TF2","Endothelial.cells",7983.67854990188,5633.79547489868,171.161979096782,2983.58301875603,3136159.05686866,5765608.57294067,700954.96742707,2437.37486799796,1720.74733260326,75.9676853046323
"TF2","Epithelial.cells",6705.08486757369,5793.9163219525,205.134931869732,3176.45933060495,3808845.84903099,6281048.02995627,-239717.678684144,2510.79226124491,1945.71737409623,95.487581496912
"TF2","Macrophages.Microglia.cells",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"TF2","Mural.cells",7819.8680530788,5459.61366497444,10.7262102276153,3004.18928863528,2922961.80311617,6102191.47883479,818573.799750287,2510.09463457581,1650.62963969047,76.3768750891769
"TF2","Neurons",7808.94996186178,5725.27921007334,22.1299591713067,3113.87782229343,3002495.53415451,6693739.55801638,1470986.26531268,2684.81432654233,1577.34179053366,70.7223350309346
"TF2","OPCs",6633.14114928797,6211.6494087776,2525.37951009257,3217.00629704885,3922650.65610124,6426478.85915071,265985.154844665,2540.55564016719,1973.50109056637,84.0025704607242
"TF2","Proliferation",7676.53539497425,5138.64119633707,1.18949009064092,2761.06652262469,2437684.79655033,5185803.54580847,351858.999279086,2286.94971754067,1547.04535544354,82.8183790111424
