"BaselineCellType","Interval","N","NChanged","ProportionChanged","SE"
"Astrocytes","TF0→TF1",1563,1314,0.840690978886756,0.00925675755326829
"Astrocytes","TF1→TF2",10771,8876,0.824064617955622,0.00366884374013087
"Endothelial cells","TF0→TF1",22506,14817,0.658357771260997,0.00316131374135516
"Endothelial cells","TF1→TF2",13306,4462,0.335337441755599,0.0040927750119439
"Epithelial cells","TF1→TF2",24,24,1,0
"Fibroblasts","TF0→TF1",30482,19428,0.637359753297028,0.00275364905242772
"Fibroblasts","TF1→TF2",21026,18606,0.88490440407115,0.00220089437868761
"Macrophages/Microglia cells","TF0→TF1",5301,4594,0.866628937936238,0.00466947974611383
"Macrophages/Microglia cells","TF1→TF2",5872,5872,1,0
"Mesenchymal cells","TF0→TF1",1517,753,0.496374423203692,0.0128370666542385
"Mesenchymal cells","TF1→TF2",2218,2218,1,0
"Neurons","TF0→TF1",840,780,0.928571428571429,0.00888595270585927
"Neurons","TF1→TF2",3205,2502,0.780655226209048,0.00730935852160522
"Neutrophils","TF0→TF1",3586,3147,0.877579475738985,0.00547350102486827
"Neutrophils","TF1→TF2",9040,7877,0.871349557522124,0.00352141844233702
"Oligodendrocytes","TF1→TF2",341,341,1,0
"Proliferation","TF0→TF1",25,25,1,0
"Proliferation","TF1→TF2",17,16,0.941176470588235,0.0570672058909019
