"Time","CellType","CentroidX","CentroidY","TotalAbundance","Dispersion","VarX","VarY","CovXY","MajorAxis","MinorAxis","Angle"
"TF0","Astrocytes",6715.8375356777,7370.51414793432,15.5653074350245,3182.28647793524,4053526.77738284,6073420.45026666,-1275195.50249324,2586.53481144671,1853.85676275808,115.810498508107
"TF0","Endothelial.cells",6760.01196758953,6089.44913405227,687.017561228126,3069.03928981105,4160730.80249031,5258271.35991363,444379.712719869,2327.15124168321,2000.842137885,70.5001796163935
"TF0","Epithelial.cells",7742.37943513066,6566.14703246117,0.891990077631667,3177.00977348238,3204844.56277443,6888546.53802814,459781.423047179,2635.34949528955,1774.35175162076,82.9918529831777
"TF0","Fibroblasts",6849.165170423,6134.59175045609,1320.55984579868,3220.34184861948,3973400.12106884,6397201.50090107,-174740.666067116,2531.74532431954,1990.19276321567,94.1023877582816
"TF0","Macrophages.Microglia.cells",6786.86336253918,5843.74898276351,599.41358549208,3238.88299604583,3936463.95923197,6553899.10284284,598756.023567604,2585.41398750669,1950.89660804451,77.7076316365535
"TF0","Mesenchymal.cells",6443.50458606846,5792.82716821828,402.053964055089,3284.81380004462,3679349.21732165,7110652.4836419,84716.7265581806,2666.9725932404,1917.61802449501,88.5865511621352
"TF0","Neurons",6654.36999275349,7352.77266712765,151.061798839495,3181.6687566637,4018667.41079896,6104348.66633096,-1090654.38260277,2563.29780400618,1884.81310614793,113.141920378222
"TF0","Neutrophils",6527.45547311641,6585.05085788036,36.3809088628714,3348.7832916363,3613586.02128961,7600763.51305282,-296292.814114148,2760.91672994694,1895.17501688935,94.2267903569513
"TF0","Oligodendrocytes",7590.18595549816,6563.67975832029,78.0187534148558,3154.01552534908,3276664.15617345,6671149.77796958,1342251.21367553,2671.65915951257,1676.32075377465,70.8307827908827
"TF0","Proliferation",7633.70175943004,7075.80769581343,0.0362847961451321,3383.2825378858,3699950.7230221,7746650.00814087,-1011760.66344107,2825.86489913662,1860.40003843006,103.283497899005
"TF1","Astrocytes",6918.72029362041,6652.96147690386,119.491610391398,3225.39061615156,3910940.58856232,6492204.0381962,91298.0439965282,2548.61318688868,1976.79423571996,87.9768460332809
"TF1","Endothelial.cells",6762.19443765692,6029.22822718981,223.009918949344,3071.63987660229,4367832.89156155,5067138.63997179,462015.006043877,2301.49841322903,2034.22628668435,63.5592147949773
"TF1","Epithelial.cells",6162.6116509311,5058.68484788715,27.3209125279889,2926.67905737822,2919026.81169564,5646423.49320063,-172145.655828169,2378.49656341167,1705.34583083172,93.5973220674054
"TF1","Fibroblasts",6687.70145657393,6147.94664342934,438.135901836947,3198.50536458648,4147253.8527455,6083182.71454297,-704542.105060336,2512.45653920007,1979.39351972246,108.02467811069
"TF1","Macrophages.Microglia.cells",6811.60027032737,5888.86222403127,912.57910180796,3202.52170240879,3988368.98980089,6267776.26459838,-51875.9194247556,2503.78838412933,1996.79467695061,91.303067324542
"TF1","Mesenchymal.cells",6426.45855581126,5640.82072263144,363.865610242938,3207.47510553349,3718162.14390044,6569734.40871665,285684.155987339,2568.67163525388,1920.89109083759,84.3348542606662
"TF1","Neurons",6757.85841096582,6629.42402419184,370.165961744206,3227.85887221824,3852054.15847337,6567018.74048463,145234.527759313,2564.13061710593,1960.69045934792,86.9466298379645
"TF1","Neutrophils",6994.09187229765,6451.13323208002,390.479558230193,3254.52271309463,3891279.13413822,6700638.95591058,468638.391255336,2603.21953331789,1953.24503107034,80.7749684443057
"TF1","Oligodendrocytes",6894.7829033548,6117.89676831643,444.352904941941,3198.96215596231,3925808.20000437,6307550.67527463,504051.91734713,2531.7645325598,1955.38416352164,78.5294249089515
"TF1","Proliferation",6444.12526426307,6412.77118741413,1.59851932708404,3259.74640275829,3792971.86672095,6832974.74357463,-280783.027412275,2618.9102874142,1940.94191483713,95.2330051177092
"TF2","Astrocytes",7778.68416079913,6848.65765271209,66.5907693964969,3002.54600139184,3303575.37046563,5711707.12000846,-539788.92141797,2413.9524496059,1785.52963053425,102.073469395089
"TF2","Endothelial.cells",6741.15937391347,5996.6846705327,1391.95208941284,3152.76000521571,3966176.67637153,5973718.97411625,355787.325934508,2456.60506673494,1976.1040449784,80.2415478649625
"TF2","Epithelial.cells",6498.63694352063,5317.10089148662,34.7931199309234,3055.97318385798,3195492.08349453,6143480.01696456,-471384.744701188,2493.39530570319,1766.90462389921,98.8671641357264
"TF2","Fibroblasts",6115.40121682033,6416.71101372037,288.670694799224,3271.68700358235,3288263.13291524,7415672.7164944,-855687.912212512,2754.27672465688,1765.75637431187,101.260347211086
"TF2","Macrophages.Microglia.cells",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"TF2","Mesenchymal.cells",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"TF2","Neurons",6728.03935494136,6047.77184278392,879.387206847825,3293.02220529076,3879058.0969384,6964937.14759963,605505.442914394,2660.73213640011,1940.23187863351,79.2865782216113
"TF2","Neutrophils",7125.24255665759,6257.5935544669,627.58439874331,3177.90197098288,4167238.96140529,5931821.97577159,-546248.720803036,2467.23179351093,2002.95487075114,105.881342423566
"TF2","Oligodendrocytes",NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"TF2","Proliferation",6576.96467119266,6803.92060322595,2.02172086938147,3565.13664849084,4980242.8511604,7729956.4712521,-1383515.64002979,2881.93912767183,2098.72013065264,112.589928534493
