"CellID","Interval","BaselineCellType","TargetCellType","Changed"
1,"TF0→TF1","Fibroblasts","Neutrophils",TRUE
2,"TF0→TF1","Fibroblasts","Neutrophils",TRUE
3,"TF0→TF1","Fibroblasts","Neutrophils",TRUE
4,"TF0→TF1","Fibroblasts","Neurons",TRUE
5,"TF0→TF1","Endothelial cells","Astrocytes",TRUE
6,"TF0→TF1","Endothelial cells","Macrophages/Microglia cells",TRUE
7,"TF0→TF1","Fibroblasts","Macrophages/Microglia cells",TRUE
8,"TF0→TF1","Endothelial cells","Astrocytes",TRUE
9,"TF0→TF1","Neutrophils","Endothelial cells",TRUE
10,"TF0→TF1","Fibroblasts","Neutrophils",TRUE
11,"TF0→TF1","Fibroblasts","Astrocytes",TRUE
12,"TF0→TF1","Fibroblasts","Macrophages/Microglia cells",TRUE
13,"TF0→TF1","Fibroblasts","Astrocytes",TRUE
14,"TF0→TF1","Endothelial cells","Neurons",TRUE
15,"TF0→TF1","Fibroblasts","Fibroblasts",FALSE
16,"TF0→TF1","Fibroblasts","Fibroblasts",FALSE
17,"TF0→TF1","Fibroblasts","Neurons",TRUE
18,"TF0→TF1","Fibroblasts","Fibroblasts",FALSE
19,"TF0→TF1","Fibroblasts","Neurons",TRUE
20,"TF0→TF1","Fibroblasts","Endothelial cells",TRUE
21,"TF0→TF1","Fibroblasts","Astrocytes",TRUE
22,"TF0→TF1","Fibroblasts","Macrophages/Microglia cells",TRUE
23,"TF0→TF1","Macrophages/Microglia cells","Macrophages/Microglia cells",FALSE
24,"TF0→TF1","Macrophages/Microglia cells","Astrocytes",TRUE
25,"TF0→TF1","Macrophages/Microglia cells","Neutrophils",TRUE
26,"TF0→TF1","Macrophages/Microglia cells","Macrophages/Microglia cells",FALSE
27,"TF0→TF1","Macrophages/Microglia cells","Endothelial cells",TRUE
28,"TF0→TF1","Macrophages/Microglia cells","Endothelial cells",TRUE
29,"TF0→TF1","Macrophages/Microglia cells","Fibroblasts",TRUE
30,"TF0→TF1","Macrophages/Microglia cells","Endothelial cells",TRUE
31,"TF0→TF1","Endothelial cells","Astrocytes",TRUE
32,"TF0→TF1","Fibroblasts","Fibroblasts",FALSE
33,"TF0→TF1","Macrophages/Microglia cells","Fibroblasts",TRUE
34,"TF0→TF1","Endothelial cells","Neutrophils",TRUE
35,"TF0→TF1","Fibroblasts","Fibroblasts",FALSE
36,"TF0→TF1","Endothelial cells","Astrocytes",TRUE
37,"TF0→TF1","Macrophages/Microglia cells","Fibroblasts",TRUE
38,"TF0→TF1","Macrophages/Microglia cells","Fibroblasts",TRUE
39,"TF0→TF1","Macrophages/Microglia cells","Endothelial cells",TRUE
40,"TF0→TF1","Fibroblasts","Fibroblasts",FALSE
41,"TF0→TF1","Endothelial cells","Endothelial cells",FALSE
42,"TF0→TF1","Endothelial cells","Fibroblasts",TRUE
43,"TF0→TF1","Endothelial cells","Endothelial cells",FALSE
44,"TF0→TF1","Endothelial cells","Endothelial cells",FALSE
45,"TF0→TF1","Endothelial cells","Endothelial cells",FALSE
46,"TF0→TF1","Endothelial cells","Endothelial cells",FALSE
47,"TF0→TF1","Endothelial cells","Endothelial cells",FALSE
48,"TF0→TF1","Fibroblasts","Endothelial cells",TRUE
49,"TF0→TF1","Fibroblasts","Fibroblasts",FALSE
50,"TF0→TF1","Endothelial cells","Endothelial cells",FALSE
51,"TF0→TF1","Endothelial cells","Endothelial cells",FALSE
52,"TF0→TF1","Endothelial cells","Fibroblasts",TRUE
53,"TF0→TF1","Endothelial cells","Endothelial cells",FALSE
54,"TF0→TF1","Endothelial cells","Endothelial cells",FALSE
