"BaselineCellType","Interval","N","NChanged","ProportionChanged","SE"
"Astrocytes","TF0→TF1",24637,6707,0.272232820554451,0.00283578017932461
"Astrocytes","TF1→TF2",46000,31693,0.688978260869565,0.0021583368039077
"Endothelial cells","TF0→TF1",310,210,0.67741935483871,0.0265501577984871
"Endothelial cells","TF1→TF2",5325,2221,0.417089201877934,0.00675702798177085
"Epithelial cells","TF0→TF1",52,51,0.980769230769231,0.0190449603396209
"Epithelial cells","TF1→TF2",3581,3300,0.921530298799218,0.00449369558052911
"Macrophages/Microglia cells","TF0→TF1",10825,10233,0.945311778290993,0.0021853473860509
"Macrophages/Microglia cells","TF1→TF2",2112,2063,0.976799242424242,0.00327572008215922
"Mesenchymal cells","TF0→TF1",1637,813,0.496640195479536,0.0123576491121185
"Mesenchymal cells","TF1→TF2",1014,1009,0.995069033530572,0.00219975165334541
"Neutrophils","TF0→TF1",28316,25145,0.888013843763243,0.00187402804348979
"Neutrophils","TF1→TF2",6608,3988,0.603510895883777,0.00601759796223288
"OPCs","TF0→TF1",43,39,0.906976744186046,0.0442955007667783
"OPCs","TF1→TF2",1180,1168,0.989830508474576,0.00292071400713471
