"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diff.pct"
1.99080184898947e-112,3.94992772173278,0.249,0.065,4.68336134974774e-108,"0","SAA1",0.184
2.31825534944925e-19,2.68158475796286,0.119,0.057,5.45369570957936e-15,"0","CXCL10",0.062
1.03173504091614e-22,2.67998495890703,0.102,0.041,2.42715668375522e-18,"0","CX3CL1",0.061
6.28368175762701e-81,2.60663477861925,0.168,0.038,1.47823613348175e-76,"0","TAGLN",0.13
1.92015137694047e-37,2.56668398860757,0.118,0.037,4.51715611425245e-33,"0","CTGF",0.081
5.17120426661374e-29,2.2650534440979,0.106,0.037,1.21652580372088e-24,"0","ODZ4",0.069
1.29448294434861e-275,2.17337772185331,0.718,0.295,3.04527112658011e-271,"0","GAP43",0.423
1.75989706864003e-38,2.14505796629346,0.138,0.048,4.14015785397566e-34,"0","ID1",0.09
1.07606660452748e-12,2.12622210185636,0.138,0.085,2.53144668715089e-08,"0","AC009501.4",0.053
7.45196618179774e-32,2.05090626643542,0.225,0.121,1.75307504426792e-27,"0","TNFAIP2",0.104
5.74946174373917e-18,2.04050936644399,0.287,0.215,1.35256087521464e-13,"0","CHI3L2",0.072
1.44689882927635e-19,2.01317426384356,0.102,0.044,3.40382949587262e-15,"0","ABCC3",0.058
5.11533542433381e-24,1.95516259279739,0.117,0.049,1.20338265857453e-19,"0","NSG1",0.068
1.56001660423892e-39,1.94757347285034,0.123,0.039,3.66993906147205e-35,"0","PODXL",0.084
1.00481905639254e-49,1.8958078212173,0.33,0.184,2.36383683016346e-45,"0","RCAN1",0.146
1.96704093531219e-279,1.84174806941063,0.86,0.453,4.62746380032193e-275,"0","GFAP",0.407
1.47863173270561e-67,1.83959752319238,0.317,0.146,3.47848115118995e-63,"0","MAOB",0.171
6.40979864946997e-75,1.81881100798575,0.315,0.132,1.50790513228781e-70,"0","CSRP1",0.183
6.90826529288553e-31,1.81344554681869,0.157,0.069,1.62516941015132e-26,"0","FAM20C",0.088
5.37582562219986e-22,1.76380409711822,0.124,0.057,1.26466297762252e-17,"0","C3",0.067
3.18718533579886e-20,1.75541827626104,0.142,0.072,7.49785350246682e-16,"0","STAC2",0.07
3.59189402403914e-12,1.751409514673,0.132,0.081,8.44993069155209e-08,"0","CPD",0.051
5.41006453765158e-22,1.74837112163266,0.119,0.053,1.27271768248253e-17,"0","A2M",0.066
1.13509960159597e-21,1.7103348351852,0.198,0.117,2.67032181275452e-17,"0","SLC39A14",0.081
5.78796126734077e-32,1.67908767865882,0.335,0.229,1.36161788814192e-27,"0","VCAM1",0.106
2.38850544235625e-18,1.63176367067626,0.173,0.101,5.61895905314308e-14,"0","ARHGAP29",0.072
5.13116671557942e-55,1.60967312474196,0.35,0.189,1.20710696984006e-50,"0","TNC",0.161
2.95713374632644e-07,1.601427973318,0.155,0.114,0.00695665713823294,"0","IFIT2",0.041
3.85106805299365e-34,1.57982068978925,0.327,0.212,9.05963759466757e-30,"0","GBP2",0.115
1.09185450021902e-56,1.55731639922192,0.471,0.324,2.56858771176525e-52,"0","NNMT",0.147
3.84612128249985e-175,3.3940400908501,0.235,0.031,9.04800031708089e-171,"1","VEPH1",0.204
0,2.7473549853165,0.629,0.14,0,"1","BCAN",0.489
4.23284501191862e-56,2.63857383474355,0.113,0.023,9.95776789053856e-52,"1","SOX3",0.09
6.25966845491031e-116,2.61217129014342,0.227,0.048,1.47258700401765e-111,"1","PLP1",0.179
8.59663291837482e-126,2.54432338452343,0.237,0.048,2.02235789404768e-121,"1","TTYH1",0.189
5.81964636462095e-62,2.47509400143123,0.117,0.023,1.36907180727708e-57,"1","MASP1",0.094
5.01230477690541e-67,2.46994322760386,0.138,0.029,1.179144698767e-62,"1","PSD2",0.109
3.03690669824189e-93,2.45252891448933,0.192,0.042,7.14432300761406e-89,"1","SPON1",0.15
4.80953428657349e-41,2.37551682291,0.1,0.025,1.13144294091641e-36,"1","RP11-659E9.6",0.075
1.9135296727814e-204,2.33093383487175,0.475,0.138,4.50157855521823e-200,"1","F2R",0.337
0,2.30521308177101,0.809,0.271,0,"1","C1orf61",0.538
1.157216980883e-83,2.26583059034184,0.29,0.106,2.72235294752726e-79,"1","LIFR",0.184
6.97279173944859e-48,2.22621386231948,0.131,0.036,1.64034925670528e-43,"1","NDP",0.095
2.05990140886279e-32,2.19888132119964,0.108,0.035,4.84591806434971e-28,"1","GRIK1",0.073
2.71859602402068e-146,2.18776524776557,0.323,0.078,6.39549714650864e-142,"1","HSPB8",0.245
1.04658918308313e-49,2.15246088398049,0.162,0.052,2.46210105320307e-45,"1","B3GAT2",0.11
1.19104155954264e-47,2.10499330316293,0.145,0.044,2.80192526882406e-43,"1","NTM",0.101
1.34940998280892e-98,2.10212428002389,0.251,0.067,3.174486984558e-94,"1","FAM189A2",0.184
3.60776304008196e-166,2.0366252950293,0.437,0.131,8.48726255179281e-162,"1","SCRG1",0.306
3.19359354005174e-93,2.00494530686664,0.374,0.159,7.51292880297171e-89,"1","TGFB2",0.215
7.51405996935254e-51,1.96612128852785,0.144,0.041,1.76768260779019e-46,"1","RP11-438E5.1",0.103
2.17531384458264e-61,1.94688171865939,0.187,0.056,5.11742581938067e-57,"1","PTCHD1",0.131
1.26239488541817e-42,1.93638547942827,0.13,0.039,2.96978396794624e-38,"1","LIX1",0.091
3.22008825417008e-35,1.91421397805206,0.121,0.039,7.57525761793512e-31,"1","TMEM178A",0.082
1.05168627427826e-53,1.90963753805377,0.243,0.101,2.47409196023961e-49,"1","NDRG2",0.142
9.4246579542576e-36,1.88921444652325,0.117,0.037,2.2171507837391e-31,"1","MOXD1",0.08
6.49832812526262e-50,1.87902481413645,0.139,0.038,1.52873169146803e-45,"1","NRXN1",0.101
1.00186201922172e-69,1.87827977621329,0.277,0.107,2.35688040021911e-65,"1","FAM107A",0.17
3.36157917591026e-29,1.86789022394496,0.136,0.055,7.90811501132889e-25,"1","ALDOC",0.081
2.71044388064398e-49,1.85589851269791,0.39,0.235,6.37631922921496e-45,"1","AQP1",0.155
1.39768511727389e-174,3.62434367729342,0.198,0.016,3.28805423838682e-170,"2","RP1-111D6.3",0.182
4.59564780987621e-210,3.46251991491225,0.249,0.023,1.08112614727338e-205,"2","BPIFB4",0.226
0,3.21012075990168,0.457,0.053,0,"2","CRYM",0.404
0,3.04645737205599,0.558,0.086,0,"2","CCK",0.472
5.16491417783421e-114,3.02546153106113,0.129,0.01,1.2150460603355e-109,"2","RESP18",0.119
2.95532189470501e-259,2.91757730776013,0.364,0.045,6.95239475729353e-255,"2","C7",0.319
6.59012241913618e-75,2.83072757710387,0.101,0.011,1.55032629910179e-70,"2","SLC38A11",0.09
4.5458065061494e-126,2.80010466838579,0.206,0.03,1.06940098057165e-121,"2","AKR1B10",0.176
7.6692403688219e-81,2.78177483209403,0.105,0.011,1.80418879676535e-76,"2","OLFML1",0.094
1.30273024998486e-248,2.7686021088978,0.359,0.046,3.06467291308939e-244,"2","CES1",0.313
1.51570255060476e-97,2.63142795266512,0.137,0.016,3.5656902502977e-93,"2","GDA",0.121
0,2.5881337449231,0.491,0.069,0,"2","IGF1",0.422
2.30606875219951e-84,2.58630393950891,0.115,0.013,5.42502673954934e-80,"2","CISH",0.102
5.9987615940332e-259,2.56849121755665,0.402,0.057,1.41120866499631e-254,"2","GUCY1A3",0.345
0,2.50050168391302,0.825,0.172,0,"2","TDO2",0.653
0,2.47778105558223,0.597,0.121,0,"2","FRZB",0.476
2.33986466117552e-75,2.4041346720699,0.126,0.019,5.50453161541542e-71,"2","MME",0.107
3.73806639252499e-307,2.39370078447411,0.503,0.078,8.79380118841504e-303,"2","RP11-662G23.1",0.425
1.25803150122178e-187,2.37010754277622,0.308,0.046,2.95951910662424e-183,"2","KCNE4",0.262
0,2.33634382336592,0.722,0.186,0,"2","NQO1",0.536
5.82318780013712e-289,2.313095627287,0.472,0.072,1.36990492998226e-284,"2","TM4SF18",0.4
2.86002568807361e-215,2.28682265048784,0.393,0.067,6.72821043119316e-211,"2","ADAMTS1",0.326
3.63801255013744e-58,2.28637746145831,0.105,0.017,8.55842452419833e-54,"2","HTR2A",0.088
5.07552889963281e-262,2.27218910559846,0.397,0.053,1.19401817363862e-257,"2","SELENBP1",0.344
0,2.26805618075347,0.932,0.213,0,"2","PTGDS",0.719
1.81912667151897e-243,2.26615870514952,0.41,0.064,4.27949549474837e-239,"2","ALPK2",0.346
9.33400007280295e-92,2.24762702035766,0.158,0.024,2.19582351712689e-87,"2","SLC26A7",0.134
7.74618912965686e-170,2.2386433016513,0.293,0.045,1.82229099275178e-165,"2","FAM20A",0.248
3.25615469295365e-132,2.22992912600481,0.182,0.02,7.66010391517347e-128,"2","ZNF385D",0.162
0,2.22971544041872,0.702,0.144,0,"2","SLC9A3R1",0.558
