"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diff.pct"
3.39012925036137e-98,1.82408608855721,0.317,0.128,8.13970033011765e-94,"0","GRTP1",0.189
3.30703806070953e-30,1.6798607933276,0.204,0.118,7.94019838376359e-26,"0","COL4A1",0.086
1.2721289146392e-54,1.64174634529999,0.478,0.389,3.05438152404873e-50,"0","LAMP1",0.089
8.0295957836904e-36,1.6330884738952,0.274,0.173,1.92790594766406e-31,"0","BCAN",0.101
3.74015358864436e-09,1.6234157612846,0.118,0.082,8.9801087663351e-05,"0","ATP11A",0.036
1.28138006681757e-95,1.58414570640587,0.477,0.295,3.076593540429e-91,"0","PMP2",0.182
3.9273808773207e-118,1.53430120381679,0.436,0.204,9.42964148644701e-114,"0","IRS2",0.232
1.80830153251154e-06,1.4710191072564,0.131,0.102,0.0434173197956021,"0","TSC22D4",0.029
3.9330246596724e-26,1.04172190097914,0.45,0.416,9.44319220787344e-22,"0","PTPRZ1",0.034
2.96102644085723e-136,1.04166715677264,0.863,0.752,7.1094244844982e-132,"0","GFAP",0.111
2.37036216740228e-14,1.01760188181643,0.369,0.341,5.69123956393288e-10,"0","ID3",0.028
3.83576572582361e-117,0.976271468110242,0.749,0.574,9.20967350770248e-113,"0","AQP4",0.175
3.65857255486559e-10,0.965355991577948,0.108,0.067,8.78423270423228e-06,"0","RP11-472K17.3",0.041
2.05468332242704e-10,0.937628949541438,0.431,0.463,4.93329465714732e-06,"0","DPYSL2",-0.032
2.77949077954478e-08,0.928721681313383,0.326,0.317,0.000667355736168703,"0","SLC1A3",0.00900000000000001
8.03150989398948e-23,0.922376898047509,0.472,0.444,1.92836552554688e-18,"0","NTRK2",0.028
2.79719200141174e-77,0.835118044389026,0.739,0.709,6.71605799538958e-73,"0","SOX2",0.03
7.27586680991207e-54,0.726308105398548,0.721,0.777,1.74693562105989e-49,"0","SRP14",-0.056
6.40593577104923e-51,0.706297094246805,0.789,0.785,1.53806517862892e-46,"0","FOS",0.004
7.68927064608687e-13,0.63247222038644,0.548,0.613,1.84619388212546e-08,"0","PON2",-0.0649999999999999
1.4454265853639e-07,0.614760369712707,0.061,0.105,0.00347046923145873,"0","CAPRIN2",-0.044
2.34585317474704e-08,0.611835819904381,0.144,0.223,0.000563239347256764,"0","TJP1",-0.079
5.8048821342273e-08,0.59658757715312,0.093,0.151,0.00139375220042797,"0","SNRPN",-0.058
1.1261571589778e-06,0.575643150111955,0.153,0.225,0.027039033387057,"0","UBXN2A",-0.072
4.91477617378284e-07,0.574754304345011,0.059,0.1,0.0118003775932526,"0","NOP14",-0.041
2.99361961285392e-08,0.57403324495106,0.111,0.176,0.000718768069046226,"0","DOCK7",-0.065
5.61229742231288e-07,0.568814607729708,0.074,0.119,0.0134751261109732,"0","TNIK",-0.045
4.05545698180438e-07,0.565090873820192,0.077,0.124,0.00973715221331231,"0","METTL2B",-0.047
3.60860923298975e-07,0.556309922687314,0.099,0.153,0.00866427076840838,"0","EIF2B4",-0.054
6.40103449951197e-07,0.555449742574793,0.074,0.119,0.0153688838333282,"0","SNCAIP",-0.045
9.50278833058128e-180,3.43258405284356,0.262,0.042,2.28161947817257e-175,"1","PLA2G2A",0.22
1.46448680953496e-148,3.10504054698716,0.19,0.024,3.51623282969344e-144,"1","BPIFB4",0.166
5.78809436800124e-119,3.06554728143912,0.152,0.019,1.3897214577571e-114,"1","RCAN2",0.133
1.73756963822379e-244,2.93355142302029,0.407,0.083,4.17190470137533e-240,"1","IFI27",0.324
2.03941677296792e-71,2.82280675971098,0.112,0.019,4.89663967189597e-67,"1","MMP7",0.093
8.891750672527e-88,2.81439503473571,0.111,0.013,2.13490933647373e-83,"1","MYBPH",0.098
2.06987282207735e-191,2.7183031936935,0.335,0.068,4.96976464580771e-187,"1","PDGFRA",0.267
0,2.67670243245741,0.494,0.075,0,"1","IER3",0.419
1.05405106464145e-93,2.57223106751454,0.131,0.019,2.53077660620413e-89,"1","S100A1",0.112
0,2.37812337473728,0.829,0.302,0,"1","CCL2",0.527
1.73979888859824e-189,2.36125028714799,0.295,0.051,4.17725713152438e-185,"1","XAF1",0.244
1.50356795331195e-93,2.26357825639207,0.182,0.039,3.610066655902e-89,"1","TRIM38",0.143
0,2.2486134994915,0.783,0.319,0,"1","FABP7",0.464
3.1984732543685e-81,2.22880664543897,0.138,0.025,7.67953428373877e-77,"1","PLA2G5",0.113
0,2.22752795826297,0.93,0.521,0,"1","CHI3L1",0.409
2.54745583030624e-80,2.22674193822098,0.117,0.017,6.11644144856529e-76,"1","SLC25A18",0.1
2.16966555550414e-205,2.18378205299443,0.394,0.088,5.20936699876545e-201,"1","TNFAIP3",0.306
1.93002032196426e-49,2.17086909755734,0.144,0.043,4.63397879303618e-45,"1","CXCL5",0.101
9.49251108116179e-114,2.16422446334952,0.188,0.033,2.27915191058695e-109,"1","HOPX",0.155
4.34223550474055e-57,2.16344268209865,0.157,0.045,1.04257074468821e-52,"1","SAA2",0.112
1.13681217847027e-222,2.14809544956661,0.43,0.099,2.72948604050712e-218,"1","TDO2",0.331
