"gene","avg_log2FC","pct.1","pct.2","diff.pct","p_val","p_val_adj","cluster"
"NCAN",1.93235446368097,0.234,0.088,0.146,8.73508353298589e-211,2.18944868754291e-206,"0"
"GFAP",1.87225274183952,0.809,0.275,0.534,0,0,"0"
"LIX1",1.84792262949615,0.119,0.044,0.075,2.00718127104392e-101,5.03099985587159e-97,"0"
"AQP4",1.75570231253174,0.888,0.392,0.496,0,0,"0"
"PLP1",1.6563171058891,0.197,0.079,0.118,1.56523838228736e-150,3.92327000520327e-146,"0"
"DCLK1",1.60221748264544,0.164,0.075,0.089,1.68742338442477e-99,4.22952671306069e-95,"0"
"ID3",1.55916636519,0.303,0.115,0.188,6.19165889793247e-266,1.55193930276677e-261,"0"
"FAM107A",1.55384145076671,0.14,0.059,0.081,1.8804024578644e-93,4.71322876063711e-89,"0"
"HMGCS1",1.52669627625652,0.313,0.159,0.154,7.65451858754043e-177,1.91860508396701e-172,"0"
"F3",1.51447072447773,0.207,0.092,0.115,1.16900051088584e-132,2.93009978053535e-128,"0"
"MSMO1",1.49523053275494,0.249,0.121,0.128,1.89288001115578e-142,4.74450374796195e-138,"0"
"CCL2",1.48114739646399,0.18,0.071,0.109,1.46592743912215e-136,3.67434712615968e-132,"0"
"FGF1",1.4588014616127,0.128,0.057,0.071,2.62205002892908e-76,6.57216839751074e-72,"0"
"SPARCL1",1.44292523643732,0.903,0.634,0.269,0,0,"0"
"GJA1",1.42469387955611,0.193,0.087,0.106,7.09892319274598e-117,1.77934509826178e-112,"0"
"PMP2",1.42170154194269,0.787,0.419,0.368,0,0,"0"
"DKK3",1.3945025192565,0.121,0.06,0.061,2.57262968595593e-57,6.44829630784853e-53,"0"
"NMB",1.38584027639677,0.349,0.169,0.18,1.83555889241754e-216,4.60082836384457e-212,"0"
"AGT",1.37824975703262,0.347,0.169,0.178,3.65745244599935e-210,9.16740455589736e-206,"0"
"SYNM",1.35484701814679,0.141,0.069,0.072,1.29055075163118e-68,3.23476545896355e-64,"0"
"ADD3",1.34423604056255,0.312,0.17,0.142,4.11938202713322e-152,1.03252310510094e-147,"0"
"TTYH1",1.34139041903926,0.251,0.129,0.122,2.16987622664369e-126,5.4387947620824e-122,"0"
"B3GAT2",1.33007239174326,0.107,0.057,0.05,6.26915853364385e-42,1.57136458645783e-37,"0"
"FADS2",1.32283364840757,0.243,0.128,0.115,3.19041417897982e-114,7.99677313961291e-110,"0"
"GRAMD3",1.32087793672173,0.135,0.071,0.064,1.84733042984767e-57,4.63033372241319e-53,"0"
"CDO1",1.310825951128,0.102,0.053,0.049,2.81819573664066e-42,7.06380761388981e-38,"0"
"CLU",1.28481795492981,0.993,0.866,0.127,0,0,"0"
"ECM2",1.27129775692758,0.101,0.053,0.048,1.47824261945308e-41,3.70521512565914e-37,"0"
"NNMT",1.27116906232205,0.15,0.078,0.072,1.66826397181989e-63,4.18150364536656e-59,"0"
"SNCAIP",1.27071512841359,0.147,0.079,0.068,7.4242761502927e-59,1.86089481707087e-54,"0"
"POSTN",1.16552409754608,0.293,0.187,0.106,1.62759678437272e-68,4.07957134003023e-64,"1"
"KLHL4",1.00001948541656,0.112,0.094,0.018,1.97935048182607e-06,0.0496124198269704,"1"
"PKIB",0.987118415721674,0.14,0.106,0.034,1.07843593353367e-13,2.70309966740215e-09,"1"
"CD82",0.970214554046621,0.209,0.158,0.051,2.15874193404996e-23,5.41088665769621e-19,"1"
"STK17A",0.950373068662071,0.177,0.144,0.033,7.94047687799529e-14,1.99028052946952e-09,"1"
"SPATA6",0.950372116988523,0.128,0.107,0.021,2.12681060107494e-07,0.00533085077159434,"1"
"ARL4A",0.892010149323167,0.153,0.132,0.021,2.16341667528941e-07,0.00542260389661291,"1"
"METTL7B",0.886811754777784,0.156,0.127,0.029,1.25887121501485e-10,3.15536070043472e-06,"1"
"EPN2",0.885092984997583,0.266,0.228,0.038,7.14870004560693e-21,1.79182166643138e-16,"1"
"DBI",0.791137870660264,0.938,0.845,0.093,0,0,"1"
"OLIG1",0.782932902985184,0.208,0.164,0.044,4.23327058461653e-17,1.06106927203413e-12,"1"
"PDE4B",0.773425929508836,0.214,0.188,0.026,3.07322273267491e-11,7.70303277944965e-07,"1"
"TRIO",0.758864987297444,0.207,0.182,0.025,6.42132981925545e-10,1.60950631919638e-05,"1"
"HOPX",0.722589209911123,0.364,0.309,0.055,5.34648151105559e-31,1.34009559074608e-26,"1"
"ETV1",0.716767934858191,0.331,0.279,0.052,2.68630416896129e-28,6.73322139950147e-24,"1"
"ACSL3",0.682470393030756,0.252,0.242,0.01,9.61829529718122e-08,0.00241082571623847,"1"
"LIMA1",0.670905892762176,0.384,0.34,0.044,2.61926872309716e-27,6.56519705444304e-23,"1"
"CD63",0.629857538572454,0.829,0.766,0.0629999999999999,1.81479081074073e-144,4.54877316712165e-140,"1"
"PTPRZ1",0.614942545993284,0.814,0.727,0.087,9.61341213251004e-138,2.40960175101364e-133,"1"
"GNAS",0.596744883033394,0.56,0.529,0.031,9.38501518879327e-47,2.35235405707103e-42,"1"
"IGFBP2",0.574496967153438,0.329,0.301,0.028,2.61722214522047e-16,6.56006730699511e-12,"1"
"NOVA1",0.557560584581302,0.359,0.354,0.005,7.1285645446269e-13,1.78677470311073e-08,"1"
"EGFR",0.553473874038787,0.497,0.481,0.016,1.74910872818762e-23,4.38414102720226e-19,"1"
"PTN",0.54605974627545,0.952,0.872,0.08,2.96590746412668e-169,7.43404705883351e-165,"1"
"YBX1",0.509367032306152,0.628,0.601,0.027,1.49151206137602e-49,3.73847498183899e-45,"1"
"PLA2G2A",4.65931138568831,0.104,0.006,0.098,0,0,"2"
"LTF",3.960324005478,0.549,0.044,0.505,0,0,"2"
"CP",3.49063204656386,0.143,0.01,0.133,0,0,"2"
"CHI3L2",3.15681970626323,0.299,0.035,0.264,0,0,"2"
"GALNT15",2.99770281464013,0.343,0.037,0.306,0,0,"2"
"CFAP126",2.90720746207145,0.112,0.011,0.101,5.86074230481501e-274,1.46899505870188e-269,"2"
"CA3",2.77404576290381,0.177,0.025,0.152,0,0,"2"
"SERPING1",2.74888498178477,0.179,0.023,0.156,0,0,"2"
"CAPS",2.73884178482597,0.249,0.035,0.214,0,0,"2"
"MAOB",2.70350605672431,0.192,0.025,0.167,0,0,"2"
"B3GAT2",2.67651186230684,0.277,0.036,0.241,0,0,"2"
"CCL2",2.58213089700617,0.345,0.056,0.289,0,0,"2"
"TCTEX1D1",2.55598196178205,0.124,0.015,0.109,1.33509282241165e-254,3.3464101593748e-250,"2"
"SYNM",2.54306229420779,0.315,0.049,0.266,0,0,"2"
"ID3",2.52249222548635,0.521,0.099,0.422,0,0,"2"
"PIFO",2.51139306311634,0.137,0.02,0.117,4.4199514548589e-255,1.10786083216038e-250,"2"
"SPAG1",2.45429543019324,0.24,0.038,0.202,0,0,"2"
"CRISPLD1",2.42039681305479,0.322,0.056,0.266,0,0,"2"
"FAM107A",2.40121386533818,0.279,0.045,0.234,0,0,"2"
"PI16",2.38047811390655,0.111,0.016,0.095,5.9246603793797e-207,1.48501612409152e-202,"2"
"AQP1",2.34639308952842,0.126,0.021,0.105,7.89378909402527e-208,1.97857823641743e-203,"2"
"RP11-792D21.2",2.34125807185245,0.122,0.018,0.104,2.08964264930153e-215,5.2376893004743e-211,"2"
"GJA1",2.34004846181196,0.371,0.069,0.302,0,0,"2"
"AK1",2.3378582190222,0.148,0.025,0.123,1.5646064219483e-243,3.92168599661341e-239,"2"
"PGAM2",2.29885491551936,0.248,0.041,0.207,0,0,"2"
"SOD2",2.27517535432526,0.326,0.064,0.262,0,0,"2"
"ANGPT1",2.24606329737009,0.134,0.023,0.111,2.56177089318342e-213,6.42107874376424e-209,"2"
"ATP1B1",2.24390049035483,0.427,0.085,0.342,0,0,"2"
"MGST1",2.22816530552837,0.2,0.036,0.164,0,0,"2"
"EFEMP1",2.1428559681442,0.221,0.044,0.177,0,0,"2"
"SPRY4",2.31517096456745,0.113,0.021,0.092,6.50042752723097e-164,1.62933215970044e-159,"3"
"OLIG2",2.22438898646874,0.211,0.043,0.168,1.62928463490438e-288,4.08380193738782e-284,"3"
"GAS1",2.11337989116258,0.261,0.06,0.201,0,0,"3"
"OLIG1",2.03971476825615,0.474,0.125,0.349,0,0,"3"
"FAT3",1.88071737981259,0.102,0.027,0.075,3.34375796576794e-101,8.38112934119734e-97,"3"
"CD82",1.75342594789823,0.427,0.126,0.301,0,0,"3"
"UBALD2",1.68681530533908,0.228,0.069,0.159,2.1576499096948e-190,5.40814949865001e-186,"3"
"CHRNA1",1.66611093787672,0.243,0.073,0.17,1.1383425762869e-209,2.85325566746312e-205,"3"
"CYTL1",1.66027676207445,0.148,0.043,0.105,2.63989910196826e-128,6.61690709908345e-124,"3"
"ARC",1.62978713351292,0.133,0.043,0.09,3.01604970180572e-99,7.55972857757605e-95,"3"
"CSPG5",1.55560718131227,0.131,0.037,0.094,1.15730532539743e-116,2.90078579810865e-112,"3"
"PDGFA",1.54335009680462,0.219,0.076,0.143,1.25313539719549e-150,3.14098387307049e-146,"3"
"DUSP6",1.52702532791413,0.23,0.076,0.154,2.32760755906887e-168,5.83414834680613e-164,"3"
"RNF157",1.47685161697898,0.175,0.057,0.118,1.34013836750912e-129,3.35905681816161e-125,"3"
"IGF2BP3",1.45388283754018,0.218,0.077,0.141,5.02469027812869e-143,1.25943861821296e-138,"3"
"CREB5",1.41029531864576,0.443,0.172,0.271,1.18932182506267e-275,2.98103515451959e-271,"3"
"ACAP3",1.38945434624501,0.119,0.042,0.077,2.5926318305015e-76,6.49843168315202e-72,"3"
"KCNQ1OT1",1.3607491605859,0.17,0.063,0.107,7.06225585108558e-100,1.7701544290746e-95,"3"
"NCOR2",1.30663758583861,0.247,0.097,0.15,1.51657008408147e-135,3.8012829157502e-131,"3"
"TRIB2",1.29596536957062,0.28,0.111,0.169,2.75114655050361e-153,6.89574882883729e-149,"3"
"FAM84A",1.29520921174675,0.105,0.037,0.068,4.08458992354198e-66,1.0238024643358e-61,"3"
"LRRN1",1.28452275511312,0.122,0.044,0.078,1.2696242578477e-74,3.18231320229527e-70,"3"
"COTL1",1.27716462427396,0.233,0.091,0.142,3.29173666558939e-128,8.2507379522998e-124,"3"
"TRIO",1.26430418517468,0.373,0.158,0.215,1.22544600185216e-188,3.07158040364244e-184,"3"
"ETV5",1.26241906915432,0.116,0.045,0.071,2.27215631166651e-62,5.69515979519211e-58,"3"
"TM4SF1",1.2315777402396,0.141,0.055,0.086,7.60449566323327e-75,1.90606683798942e-70,"3"
"TRAF4",1.22149451404128,0.111,0.044,0.067,2.04546849779661e-57,5.12696678972719e-53,"3"
"IL1RAP",1.2043705013526,0.186,0.075,0.111,2.0385856196074e-94,5.10971485554594e-90,"3"
"ETV1",1.1840258633982,0.56,0.246,0.314,1.13349229017951e-289,2.84109842533495e-285,"3"
"EGFR",1.1835400176568,0.766,0.441,0.325,0,0,"3"
"MCM10",5.73561418237638,0.1,0.002,0.098,0,0,"4"
"FAM111B",5.24875084448736,0.236,0.006,0.23,0,0,"4"
"PCLAF",5.16271418510716,0.407,0.015,0.392,0,0,"4"
"RRM2",5.12668331254142,0.135,0.004,0.131,0,0,"4"
"TK1",4.82835870192626,0.105,0.004,0.101,0,0,"4"
"CLSPN",4.78445995086419,0.348,0.014,0.334,0,0,"4"
"CCNE2",4.58735701347985,0.145,0.005,0.14,0,0,"4"
"ESCO2",4.38433925191371,0.201,0.011,0.19,0,0,"4"
"CDCA5",4.18510952463956,0.151,0.008,0.143,0,0,"4"
"CENPU",4.09600401713,0.524,0.037,0.487,0,0,"4"
"XRCC2",3.95718412434962,0.236,0.015,0.221,0,0,"4"
"FANCI",3.8993423558561,0.178,0.012,0.166,0,0,"4"
"RAD51AP1",3.86083177980798,0.245,0.017,0.228,0,0,"4"
"BRCA2",3.84690190745937,0.113,0.008,0.105,0,0,"4"
